draw,district,total_pop
2,1,362346
2,2,379482
2,3,388945
2,4,200163
2,5,554742
7,1,379482
7,2,199895
7,3,554742
7,4,515694
7,5,235865
10,1,554742
10,2,199895
10,3,200163
10,4,397566
10,5,533312
12,1,379482
12,2,200163
12,3,516176
12,4,235115
12,5,554742
20,1,554742
20,2,362346
20,3,379482
20,4,388945
20,5,200163
21,1,191050
21,2,379482
21,3,525289
21,4,235115
21,5,554742
24,1,379482
24,2,198645
24,3,517694
24,4,235115
24,5,554742
25,1,554742
25,2,379482
25,3,199895
25,4,551396
25,5,200163
30,1,200163
30,2,379482
30,3,362346
30,4,388945
30,5,554742
35,1,379482
35,2,326644
35,3,389695
35,4,235115
35,5,554742
42,1,326644
42,2,554742
42,3,379482
42,4,388945
42,5,235865
47,1,235115
47,2,533312
47,3,235865
47,4,326644
47,5,554742
50,1,235115
50,2,379482
50,3,554742
50,4,389695
50,5,326644
58,1,326644
58,2,554742
58,3,379482
58,4,433760
58,5,191050
68,1,379482
68,2,361864
68,3,199895
68,4,389695
68,5,554742
70,1,235115
70,2,554742
70,3,379482
70,4,480474
70,5,235865
71,1,326644
71,2,554742
71,3,379482
71,4,389695
71,5,235115
79,1,199895
79,2,379482
79,3,554742
79,4,552914
79,5,198645
84,1,199895
84,2,379482
84,3,554742
84,4,389695
84,5,361864
85,1,379482
85,2,480474
85,3,235115
85,4,235865
85,5,554742
92,1,379482
92,2,554742
92,3,362346
92,4,353993
92,5,235115
94,1,379482
94,2,554742
94,3,361864
94,4,353725
94,5,235865
100,1,199895
100,2,554742
100,3,471438
100,4,379482
100,5,280121
107,1,361864
107,2,199895
107,3,533312
107,4,235865
107,5,554742
110,1,362346
110,2,379482
110,3,554742
110,4,388945
110,5,200163
117,1,379482
117,2,554742
117,3,235115
117,4,516176
117,5,200163
120,1,379482
120,2,235115
120,3,554742
120,4,517694
120,5,198645
123,1,199895
123,2,379482
123,3,200163
123,4,551396
123,5,554742
127,1,379482
127,2,471438
127,3,199895
127,4,280121
127,5,554742
132,1,436218
132,2,235115
132,3,379482
132,4,280121
132,5,554742
143,1,199895
143,2,379482
143,3,200163
143,4,551396
143,5,554742
146,1,554742
146,2,379482
146,3,361864
146,4,389695
146,5,199895
147,1,191050
147,2,198645
147,3,379482
147,4,554742
147,5,561759
155,1,199895
155,2,379482
155,3,397566
155,4,353993
155,5,554742
164,1,379482
164,2,554742
164,3,235115
164,4,516176
164,5,200163
166,1,200163
166,2,379482
166,3,199895
166,4,551396
166,5,554742
168,1,199895
168,2,379482
168,3,353993
168,4,397566
168,5,554742
169,1,379482
169,2,554742
169,3,235115
169,4,517694
169,5,198645
171,1,554742
171,2,361864
171,3,379482
171,4,353725
171,5,235865
177,1,379482
177,2,554742
177,3,235115
177,4,480474
177,5,235865
188,1,326644
188,2,379482
188,3,235865
188,4,388945
188,5,554742
190,1,554742
190,2,361864
190,3,379482
190,4,389695
190,5,199895
191,1,199895
191,2,554742
191,3,533312
191,4,397566
191,5,200163
196,1,235115
196,2,554742
196,3,362346
196,4,379482
196,5,353993
201,1,326644
201,2,379482
201,3,235115
201,4,389695
201,5,554742
204,1,235115
204,2,379482
204,3,198645
204,4,517694
204,5,554742
205,1,362346
205,2,554742
205,3,235115
205,4,533312
205,5,200163
210,1,199895
210,2,554742
210,3,200163
210,4,397566
210,5,533312
216,1,379482
216,2,554742
216,3,353725
216,4,361864
216,5,235865
218,1,379482
218,2,235115
218,3,235865
218,4,480474
218,5,554742
222,1,436218
222,2,235115
222,3,379482
222,4,280121
222,5,554742
229,1,525289
229,2,379482
229,3,191050
229,4,235115
229,5,554742
232,1,554742
232,2,379482
232,3,361864
232,4,353725
232,5,235865
235,1,191050
235,2,533312
235,3,199895
