draw,district,total_pop
6, 1,533303
6, 2,475293
6, 3,497272
6, 4,468895
6, 5,456480
6, 6,374270
6, 7,395702
6, 8,417346
6, 9,373779
6,10,474680
6,11,396631
6,12,396186
6,13,471004
6,14,445774
6,15,497134
6,16,509577
14, 1,533303
14, 2,475293
14, 3,497272
14, 4,468895
14, 5,456480
14, 6,374270
14, 7,395702
14, 8,417346
14, 9,373779
14,10,474680
14,11,396631
14,12,396186
14,13,471004
14,14,501534
14,15,434289
14,16,516662
20, 1,533303
20, 2,475293
20, 3,497272
20, 4,468895
20, 5,456480
20, 6,374270
20, 7,395702
20, 8,417346
20, 9,373779
20,10,474680
20,11,396631
20,12,396186
20,13,471004
20,14,445774
20,15,497134
20,16,509577
23, 1,533303
23, 2,475293
23, 3,497272
23, 4,468895
23, 5,456480
23, 6,374270
23, 7,395702
23, 8,417346
23, 9,373779
23,10,474680
23,11,396631
23,12,396186
23,13,471004
23,14,444877
23,15,481324
23,16,526284
26, 1,533303
26, 2,475293
26, 3,497272
26, 4,468895
26, 5,456480
26, 6,374270
26, 7,395702
26, 8,417346
26, 9,373779
26,10,474680
26,11,396631
26,12,396186
26,13,471004
26,14,501534
26,15,427144
26,16,523807
44, 1,533303
44, 2,475293
44, 3,497272
44, 4,468895
44, 5,456480
44, 6,374270
44, 7,395702
44, 8,417346
44, 9,373779
44,10,474680
44,11,396631
44,12,396186
44,13,471004
44,14,492472
44,15,445774
44,16,514239
47, 1,533303
47, 2,475293
47, 3,497272
47, 4,468895
47, 5,456480
47, 6,374270
47, 7,395702
47, 8,417346
47, 9,373779
47,10,474680
47,11,396631
47,12,396186
47,13,471004
47,14,445774
47,15,497134
47,16,509577
50, 1,533303
50, 2,475293
50, 3,497272
50, 4,468895
50, 5,456480
50, 6,374270
50, 7,395702
50, 8,417346
50, 9,373779
50,10,474680
50,11,396631
50,12,396186
50,13,471004
50,14,445774
50,15,497134
50,16,509577
61, 1,533303
61, 2,475293
61, 3,497272
61, 4,468895
61, 5,456480
61, 6,374270
61, 7,395702
61, 8,417346
61, 9,373779
61,10,474680
61,11,396631
61,12,396186
61,13,471004
61,14,445774
61,15,497134
61,16,509577
62, 1,533303
62, 2,475293
62, 3,497272
62, 4,468895
62, 5,456480
62, 6,374270
62, 7,395702
62, 8,417346
62, 9,373779
62,10,474680
62,11,396631
62,12,396186
62,13,471004
62,14,501534
62,15,447779
62,16,503172
63, 1,533303
63, 2,475293
63, 3,497272
63, 4,468895
63, 5,456480
63, 6,374270
63, 7,395702
63, 8,417346
63, 9,373779
63,10,474680
63,11,396631
63,12,396186
63,13,471004
63,14,445774
63,15,497134
63,16,509577
65, 1,533303
65, 2,475293
65, 3,497272
65, 4,468895
65, 5,456480
65, 6,374270
65, 7,395702
65, 8,417346
65, 9,373779
65,10,474680
65,11,396631
65,12,396186
65,13,471004
65,14,445774
65,15,497134
65,16,509577
69, 1,533303
69, 2,475293
69, 3,497272
69, 4,468895
69, 5,456480
69, 6,374270
69, 7,395702
69, 8,417346
69, 9,373779
69,10,474680
69,11,396631
69,12,396186
69,13,471004
69,14,492472
69,15,447051
69,16,512962
70, 1,533303
70, 2,475293
70, 3,497272
70, 4,468895
70, 5,456480
70, 6,374270
70, 7,395702
70, 8,417346
70, 9,373779
70,10,474680
70,11,396631
70,12,396186
70,13,471004
70,14,445774
70,15,497134
70,16,509577
73, 1,533303
73, 2,475293
73, 3,497272
73, 4,468895
73, 5,456480
73, 6,374270
73, 7,395702
73, 8,417346
73, 9,373779
73,10,474680
73,11,396631
73,12,396186
73,13,471004
73,14,492472
73,15,447725
73,16,512288
79, 1,533303
79, 2,475293
79, 3,497272
79, 4,468895
79, 5,456480
79, 6,374270
79, 7,395702
79, 8,417346
79, 9,373779
79,10,474680
79,11,396631
79,12,396186
79,13,471004
79,14,501534
79,15,442874
79,16,508077
81, 1,533303
81, 2,475293
81, 3,497272
81, 4,468895
81, 5,456480
81, 6,374270
81, 7,395702
81, 8,417346
81, 9,373779
81,10,474680
81,11,396631
81,12,396186
81,13,471004
81,14,492472
81,15,445702
81,16,514311
91, 1,533303
91, 2,475293
91, 3,497272
91, 4,468895
91, 5,456480
91, 6,374270
91, 7,395702
91, 8,417346
91, 9,373779
91,10,474680
91,11,396631
91,12,396186
91,13,471004
91,14,492472
91,15,424455
91,16,535558
93, 1,533303
93, 2,475293
93, 3,497272
93, 4,468895
93, 5,456480
93, 6,374270
93, 7,395702
93, 8,417346
93, 9,373779
93,10,474680
93,11,396631
93,12,396186
93,13,471004
93,14,501534
93,15,442874
93,16,508077
105, 1,533303
105, 2,475293
105, 3,497272
105, 4,468895
105, 5,456480
105, 6,374270
105, 7,395702
105, 8,417346
