draw,district,total_pop
6, 1,547473
6, 2,404470
6, 3,349447
6, 4,443774
6, 5,346579
6, 6,392367
6, 7,430290
6, 8,406385
6, 9,455770
6,10,475333
6,11,366294
6,12,502817
6,13,496062
6,14,525242
18, 1,547473
18, 2,404470
18, 3,349447
18, 4,443774
18, 5,346579
18, 6,392367
18, 7,430290
18, 8,406385
18, 9,455770
18,10,475333
18,11,366294
18,12,502817
18,13,496062
18,14,525242
22, 1,547473
22, 2,404470
22, 3,349447
22, 4,443774
22, 5,346579
22, 6,392367
22, 7,430290
22, 8,406385
22, 9,455770
22,10,475333
22,11,366294
22,12,483514
22,13,502817
22,14,537790
25, 1,547473
25, 2,404470
25, 3,349447
25, 4,443774
25, 5,346579
25, 6,392367
25, 7,430290
25, 8,406385
25, 9,455770
25,10,475333
25,11,366294
25,12,486946
25,13,502817
25,14,534358
36, 1,547473
36, 2,404470
36, 3,349447
36, 4,443774
36, 5,346579
36, 6,392367
36, 7,430290
36, 8,406385
36, 9,455770
36,10,475333
36,11,366294
36,12,486946
36,13,502817
36,14,534358
46, 1,547473
46, 2,404470
46, 3,349447
46, 4,443774
46, 5,346579
46, 6,392367
46, 7,430290
46, 8,406385
46, 9,455770
46,10,475333
46,11,366294
46,12,483514
46,13,502817
46,14,537790
48, 1,547473
48, 2,404470
48, 3,349447
48, 4,443774
48, 5,346579
48, 6,392367
48, 7,430290
48, 8,406385
48, 9,455770
48,10,475333
48,11,366294
48,12,502817
48,13,488233
48,14,533071
78, 1,547473
78, 2,404470
78, 3,349447
78, 4,443774
78, 5,346579
78, 6,392367
78, 7,430290
78, 8,406385
78, 9,455770
78,10,475333
78,11,366294
78,12,502817
78,13,504340
78,14,516964
79, 1,547473
79, 2,404470
79, 3,349447
79, 4,443774
79, 5,346579
79, 6,392367
79, 7,430290
79, 8,406385
79, 9,455770
79,10,475333
79,11,366294
79,12,502817
79,13,488233
79,14,533071
86, 1,547473
86, 2,404470
86, 3,349447
86, 4,443774
86, 5,346579
86, 6,392367
86, 7,430290
86, 8,406385
86, 9,455770
86,10,475333
86,11,366294
86,12,486946
86,13,502817
86,14,534358
88, 1,547473
88, 2,404470
88, 3,349447
88, 4,443774
88, 5,346579
88, 6,392367
88, 7,430290
88, 8,406385
88, 9,455770
88,10,475333
88,11,366294
88,12,502817
88,13,496071
88,14,525233
96, 1,547473
96, 2,404470
96, 3,349447
96, 4,443774
96, 5,346579
96, 6,392367
96, 7,430290
96, 8,406385
96, 9,455770
96,10,475333
96,11,366294
96,12,502817
96,13,488233
96,14,533071
99, 1,412923
99, 2,439492
99, 3,355939
99, 4,406989
99, 5,456852
99, 6,366294
99, 7,508267
99, 8,346579
99, 9,392555
99,10,540309
99,11,375959
99,12,540253
99,13,480169
99,14,519723
101, 1,547473
101, 2,404470
101, 3,349447
101, 4,443774
101, 5,346579
101, 6,392367
101, 7,430290
101, 8,406385
101, 9,455770
101,10,475333
101,11,366294
101,12,502817
101,13,496062
101,14,525242
110, 1,547473
110, 2,404470
110, 3,349447
110, 4,443774
110, 5,346579
110, 6,392367
110, 7,430290
110, 8,406385
110, 9,455770
110,10,475333
110,11,366294
110,12,502817
110,13,488233
110,14,533071
118, 1,547473
118, 2,404470
118, 3,349447
118, 4,443774
118, 5,346579
118, 6,392367
118, 7,430290
118, 8,406385
118, 9,455770
118,10,475333
118,11,366294
118,12,502817
118,13,496071
118,14,525233
127, 1,547473
127, 2,404470
127, 3,349447
127, 4,443774
127, 5,346579
127, 6,392367
127, 7,430290
127, 8,406385
127, 9,455770
127,10,475333
127,11,366294
127,12,475357
127,13,502817
127,14,545947
135, 1,547473
135, 2,404470
135, 3,349447
135, 4,443774
135, 5,346579
135, 6,392367
135, 7,430290
135, 8,406385
135, 9,455770
135,10,475333
135,11,366294
135,12,502817
135,13,489863
135,14,531441
146, 1,547473
146, 2,404470
146, 3,349447
146, 4,443774
146, 5,346579
146, 6,392367
146, 7,430290
146, 8,406385
146, 9,455770
146,10,475333
146,11,366294
146,12,502817
146,13,504340
146,14,516964
200, 1,547473
200, 2,404470
200, 3,349447
200, 4,443774
200, 5,346579
200, 6,392367
200, 7,430290
200, 8,406385
200, 9,455770
200,10,475333
200,11,366294
200,12,502817
200,13,489863
200,14,531441
212, 1,547473
212, 2,404470
212, 3,349447
212, 4,443774
212, 5,346579
212, 6,392367
212, 7,430290
212, 8,406385
212, 9,455770
212,10,475333
212,11,366294
212,12,486946
212,13,502817
212,14,534358
218, 1,547473
218, 2,404470
218, 3,349447
218, 4,443774
218, 5,346579
218, 6,392367
218, 7,430290
218, 8,406385
218, 9,455770
218,10,475333
218,11,366294
218,12,483514
218,13,502817
218,14,537790
236, 1,547473
236, 2,404470
236, 3,349447
236, 4,443774
236, 5,346579
236, 6,392367
236, 7,430290
236, 8,406385
236, 9,455770
236,10,475333
236,11,366294
236,12,502817
236,13,489863
236,14,531441
259, 1,547473
259, 2,404470
259, 3,349447
259, 4,443774
259, 5,346579
259, 6,392367
259, 7,430290
259, 8,406385
259, 9,455770
259,10,475333
259,11,366294
259,12,502817
259,13,496071
259,14,525233
263, 1,547473
263, 2,404470
263, 3,349447
263, 4,443774
263, 5,346579
263, 6,392367
263, 7,430290
263, 8,406385
263, 9,455770
263,10,475333
263,11,366294
263,12,502817
263,13,496062
263,14,525242
267, 1,547473
267, 2,404470
267, 3,349447
267, 4,443774
267, 5,346579
267, 6,392367
267, 7,430290
267, 8,406385
267, 9,455770
267,10,475333
267,11,366294
267,12,502817
267,13,496062
267,14,525242
