draw,district,total_pop
5,1,463303
5,2,440470
5,3,444669
5,4,486260
5,5,464764
5,6,477054
5,7,477092
5,8,474325
5,9,481972
7,1,463303
7,2,440470
7,3,444669
7,4,486260
7,5,492135
7,6,459742
7,7,478435
7,8,464455
7,9,480440
8,1,463303
8,2,440470
8,3,444669
8,4,486260
8,5,491656
8,6,472493
8,7,444909
8,8,476869
8,9,489280
9,1,459779
9,2,444669
9,3,480638
9,4,486260
9,5,476231
9,6,481974
9,7,478670
9,8,461921
9,9,439767
23,1,463303
23,2,440470
23,3,444669
23,4,466362
23,5,486260
23,6,458721
23,7,494410
23,8,472434
23,9,483280
24,1,440470
24,2,463303
24,3,485880
24,4,453648
24,5,474325
24,6,469311
24,7,444669
24,8,486260
24,9,492043
28,1,463303
28,2,444669
28,3,492048
28,4,486260
28,5,478438
28,6,440470
28,7,465193
28,8,444626
28,9,494902
36,1,463303
36,2,440470
36,3,444669
36,4,486260
36,5,491656
36,6,484269
36,7,459754
36,8,450720
36,9,488808
37,1,481957
37,2,464922
37,3,472579
37,4,440470
37,5,495046
37,6,458676
37,7,450720
37,8,468730
37,9,476809
40,1,442371
40,2,463303
40,3,440470
40,4,473893
40,5,468945
40,6,469656
40,7,483772
40,8,474578
40,9,492921
41,1,463303
41,2,440470
41,3,444669
41,4,466362
41,5,494902
41,6,486260
41,7,482368
41,8,491287
41,9,440288
42,1,463303
42,2,469797
42,3,490205
42,4,473752
42,5,488951
42,6,460786
42,7,449661
42,8,472984
42,9,440470
51,1,463303
51,2,440470
51,3,444669
51,4,486260
51,5,492135
51,6,495238
51,7,444290
51,8,459124
51,9,484420
54,1,463303
54,2,440470
54,3,444669
54,4,454399
54,5,485129
54,6,486260
54,7,481957
54,8,462773
54,9,490949
69,1,463303
69,2,440470
69,3,444669
69,4,486260
69,5,491656
69,6,477054
69,7,443536
69,8,469702
69,9,493259
75,1,463303
75,2,440470
75,3,444669
75,4,486260
75,5,491656
75,6,477054
75,7,469248
75,8,462474
75,9,474775
89,1,463303
89,2,444669
89,3,450720
89,4,475556
89,5,440470
89,6,469524
89,7,486260
89,8,488678
89,9,490729
95,1,463303
95,2,440470
95,3,444669
95,4,486260
95,5,478361
95,6,459742
95,7,479786
95,8,467222
95,9,490096
97,1,463303
97,2,440470
97,3,488150
97,4,455232
97,5,486260
97,6,494902
97,7,444669
97,8,453706
97,9,483217
99,1,463303
99,2,440470
99,3,444669
99,4,486260
99,5,478361
