draw,district,total_pop
4,1,426684
4,2,369860
4,3,434604
4,4,358223
4,5,414116
4,6,377887
14,1,371390
14,2,434604
14,3,414088
14,4,399159
14,5,397938
14,6,364195
21,1,384145
21,2,361804
21,3,434604
21,4,363888
21,5,409381
21,6,427552
23,1,430771
23,2,374601
23,3,362592
23,4,414918
23,5,363888
23,6,434604
24,1,383096
24,2,363888
24,3,423231
24,4,413702
24,5,362853
24,6,434604
31,1,392086
31,2,402432
31,3,362236
31,4,434604
31,5,414416
31,6,375600
33,1,364195
33,2,371390
33,3,434604
33,4,431942
33,5,418437
33,6,360806
40,1,383096
40,2,363888
40,3,423231
40,4,362853
40,5,413702
40,6,434604
42,1,426684
42,2,369860
42,3,434604
42,4,358223
42,5,414116
42,6,377887
43,1,359858
43,2,414416
43,3,434604
43,4,407828
43,5,402432
43,6,362236
46,1,430771
46,2,374601
46,3,362592
46,4,414918
46,5,363888
46,6,434604
51,1,365138
51,2,412812
51,3,393743
51,4,402548
51,5,372529
51,6,434604
53,1,414641
53,2,388964
53,3,407954
53,4,407423
53,5,403332
53,6,359060
54,1,430771
54,2,374601
54,3,362592
54,4,414918
54,5,363888
54,6,434604
56,1,420403
56,2,364195
56,3,424169
56,4,366613
56,5,371390
56,6,434604
59,1,405536
59,2,412943
59,3,392956
59,4,374601
59,5,395147
59,6,400191
62,1,392086
62,2,402432
62,3,362236
62,4,434604
62,5,414416
62,6,375600
70,1,435011
70,2,434604
70,3,393499
70,4,363888
70,5,379771
70,6,374601
74,1,374601
74,2,434604
74,3,430771
74,4,363888
74,5,397586
74,6,379924
78,1,360138
78,2,375447
78,3,434604
78,4,428960
78,5,400000
78,6,382225
80,1,385143
80,2,374601
80,3,363888
80,4,428829
80,5,394309
80,6,434604
84,1,383096
84,2,363888
84,3,423231
84,4,413702
84,5,362853
84,6,434604
87,1,402978
87,2,374601
87,3,382743
87,4,363888
87,5,422560
87,6,434604
88,1,434604
88,2,414116
88,3,384296
88,4,409706
88,5,377887
88,6,360765
90,1,383096
90,2,363888
90,3,423231
90,4,362853
90,5,413702
90,6,434604
92,1,377887
92,2,434604
92,3,414116
92,4,436256
92,5,360288
92,6,358223
94,1,410941
94,2,407721
94,3,389619
94,4,363888
94,5,374601
94,6,434604
95,1,374601
95,2,434604
95,3,430771
95,4,363888
95,5,397586
95,6,379924
96,1,400252
96,2,403332
96,3,359060
96,4,423057
96,5,388964
96,6,406709
97,1,435011
97,2,434604
97,3,393499
97,4,363888
97,5,379771
97,6,374601
98,1,417174
98,2,363837
98,3,363888
98,4,374601
98,5,427270
98,6,434604
100,1,435406
100,2,401527
100,3,385607
100,4,360342
100,5,363888
100,6,434604
104,1,375447
104,2,413832
104,3,434604
104,4,399292
104,5,398061
104,6,360138
107,1,386007
107,2,403332
107,3,359060
107,4,424169
107,5,388964
107,6,419842
119,1,434604
119,2,375447
119,3,368386
119,4,431608
119,5,411191
119,6,360138
123,1,425885
123,2,402978
123,3,363888
123,4,434604
123,5,379418
123,6,374601
129,1,434604
129,2,363888
129,3,374601
129,4,399907
129,5,393320
129,6,415054
131,1,368888
131,2,434604
131,3,388314
131,4,370799
131,5,403332
131,6,415437
135,1,403332
135,2,359060
135,3,435011
135,4,406355
135,5,388964
135,6,388652
136,1,383096
136,2,363888
136,3,423231
136,4,413702
136,5,362853
136,6,434604
144,1,374601
144,2,371491
144,3,363888
144,4,419772
144,5,417018
144,6,434604
149,1,434604
149,2,414416
149,3,393079
149,4,371589
149,5,389727
149,6,377959
151,1,425885
151,2,402978
151,3,363888
151,4,434604
151,5,379418
151,6,374601
152,1,386007
152,2,403332
152,3,359060
152,4,424169
152,5,388964
152,6,419842
153,1,385492
153,2,357924
153,3,403332
153,4,381763
153,5,418259
153,6,434604
162,1,383096
162,2,363888
162,3,423231
162,4,413702
162,5,362853
162,6,434604
163,1,414416
163,2,434604
163,3,365954
163,4,407115
163,5,401732
163,6,357553
167,1,363888
167,2,418540
167,3,377416
167,4,412325
167,5,374601
167,6,434604
175,1,410941
175,2,407721
175,3,389619
175,4,363888
175,5,374601
175,6,434604
181,1,434604
181,2,421259
181,3,363888
181,4,398332
181,5,388690
181,6,374601
183,1,377416
183,2,368533
183,3,434604
183,4,402059
183,5,363888
183,6,434874
184,1,420403
184,2,364195
184,3,424169
184,4,371390
184,5,366613
184,6,434604
194,1,407721
194,2,360138
194,3,424133
194,4,379331
194,5,375447
194,6,434604
199,1,383096
199,2,363888
199,3,423231
199,4,362853
199,5,413702
199,6,434604
215,1,386007
215,2,403332
215,3,359060
215,4,395490
215,5,407797
215,6,429688
216,1,434604
216,2,370078
216,3,379729
216,4,404960
216,5,414116
216,6,377887
218,1,364195
218,2,371390
218,3,410296
218,4,434604
218,5,397211
218,6,403678
222,1,366700
222,2,400986
222,3,362100
222,4,402568
222,5,414416
222,6,434604
225,1,406046
225,2,430887
225,3,434604
225,4,361804
225,5,384145
225,6,363888
228,1,410941
228,2,407721
228,3,389619
228,4,363888
228,5,374601
228,6,434604
230,1,434604
230,2,415077
230,3,384145
230,4,363888
230,5,421856
230,6,361804
235,1,374601
235,2,371491
235,3,363888
235,4,419772
235,5,417018
235,6,434604
236,1,383096
236,2,363888
236,3,423231
236,4,362853
236,5,413702
236,6,434604
243,1,410754
243,2,363888
243,3,434604
243,4,372769
243,5,373180
243,6,426179
248,1,360516
248,2,407170
248,3,396387
248,4,368281
248,5,414416
248,6,434604
252,1,393237
252,2,423306
252,3,405536
252,4,363361
252,5,392956
252,6,402978
257,1,368883
257,2,403332
257,3,410661
257,4,398803
257,5,388964
257,6,410731
261,1,425885
261,2,402978
261,3,363888
261,4,434604
261,5,379418
261,6,374601
266,1,360516
266,2,407170
266,3,396387
266,4,368281
266,5,414416
266,6,434604
272,1,414416
272,2,389941
272,3,397979
272,4,377745
272,5,366689
272,6,434604
282,1,385143
282,2,374601
282,3,363888
282,4,428829
282,5,394309
282,6,434604
288,1,435011
288,2,434604
288,3,393499
288,4,363888
288,5,379771
288,6,374601
289,1,434604
289,2,417345
289,3,363888
289,4,387475
289,5,419588
289,6,358474
290,1,412042
290,2,412373
290,3,383866
290,4,374601
290,5,392956
290,6,405536
291,1,392086
291,2,402432
291,3,362236
291,4,434604
291,5,414416
291,6,375600
294,1,410754
294,2,363888
294,3,361804
294,4,384145
294,5,426179
294,6,434604
298,1,412042
298,2,412373
298,3,383866
298,4,374601
298,5,363888
298,6,434604
302,1,420403
302,2,364195
302,3,424169
302,4,371390
302,5,366613
302,6,434604
311,1,407064
311,2,434604
311,3,363888
311,4,381509
311,5,374601
311,6,419708
315,1,408245
315,2,414116
315,3,434604
315,4,378126
315,5,377887
315,6,368396
319,1,363888
319,2,374601
319,3,422397
319,4,434604
319,5,407766
319,6,378118
322,1,402978
322,2,374601
322,3,382743
322,4,363888
322,5,422560
322,6,434604
323,1,430683
323,2,408940
323,3,434604
323,4,359114
323,5,384145
323,6,363888
325,1,385492
325,2,357924
325,3,403332
325,4,381763
325,5,418259
325,6,434604
327,1,430771
327,2,374601
327,3,362592
327,4,414918
327,5,363888
327,6,434604
329,1,385143
329,2,374601
329,3,363888
329,4,428829
329,5,394309
329,6,434604
332,1,435406
332,2,401527
332,3,367914
332,4,378035
332,5,363888
332,6,434604
333,1,384145
333,2,361804
333,3,434604
333,4,363888
333,5,411163
333,6,425770
334,1,435011
334,2,434604
334,3,393499
334,4,363888
334,5,379771
334,6,374601
337,1,429014
337,2,363888
337,3,392747
337,4,434604
337,5,386520
337,6,374601
338,1,410754
338,2,363888
338,3,361804
338,4,384145
338,5,426179
338,6,434604
339,1,410754
339,2,363888
339,3,361804
339,4,384145
339,5,426179
339,6,434604
342,1,407721
342,2,360138
342,3,424133
342,4,379331
342,5,375447
342,6,434604
352,1,412042
352,2,412373
352,3,383866
352,4,374601
352,5,363888
352,6,434604
353,1,366700
353,2,400986
353,3,362100
353,4,402568
353,5,414416
353,6,434604
355,1,363888
