draw,district,total_pop
3,1,534034
3,2,340985
3,3,509887
12,1,386950
12,2,570081
12,3,427875
37,1,523484
37,2,440421
37,3,421001
40,1,386950
40,2,408323
40,3,589633
47,1,567799
47,2,304372
47,3,512735
58,1,497333
58,2,409784
58,3,477789
59,1,556198
59,2,475230
59,3,353478
63,1,497333
63,2,459698
63,3,427875
115,1,461650
115,2,365947
115,3,557309
135,1,386950
135,2,525578
135,3,472378
148,1,582490
148,2,409784
148,3,392632
159,1,564856
159,2,377686
159,3,442364
168,1,534034
168,2,340985
168,3,509887
189,1,386950
189,2,605324
189,3,392632
204,1,497333
204,2,377686
204,3,509887
213,1,555582
213,2,488069
213,3,341255
220,1,528557
220,2,408323
220,3,448026
225,1,534034
225,2,458240
225,3,392632
238,1,567799
238,2,344955
238,3,472152
240,1,497333
240,2,544855
240,3,342718
251,1,386950
251,2,488069
251,3,509887
252,1,619191
252,2,373083
252,3,392632
273,1,564853
273,2,304372
273,3,515681
277,1,534034
277,2,340985
277,3,509887
291,1,534034
291,2,508154
291,3,342718
295,1,497333
295,2,427600
295,3,459973
307,1,386950
307,2,408323
307,3,589633
313,1,497333
313,2,511075
313,3,376498
326,1,386950
326,2,408323
326,3,589633
327,1,386950
327,2,537983
327,3,459973
337,1,528557
337,2,520167
337,3,336182
339,1,482642
339,2,454238
339,3,448026
342,1,534034
342,2,378494
342,3,472378
344,1,528557
344,2,408323
344,3,448026
345,1,482642
345,2,571493
345,3,330771
346,1,534034
346,2,422997
346,3,427875
348,1,614588
348,2,377686
348,3,392632
352,1,610768
352,2,408323
352,3,365815
371,1,611384
371,2,365947
371,3,407575
377,1,386950
377,2,440421
377,3,557535
380,1,611384
380,2,365947
380,3,407575
381,1,497333
381,2,377686
381,3,509887
394,1,426192
394,2,617459
394,3,341255
399,1,550165
399,2,344955
399,3,489786
401,1,619176
401,2,324860
401,3,440870
415,1,564853
415,2,344955
415,3,475098
441,1,386950
441,2,408323
441,3,589633
447,1,528557
447,2,408323
447,3,448026
456,1,497333
456,2,377686
456,3,509887
463,1,472107
463,2,440421
463,3,472378
472,1,550165
472,2,344955
472,3,489786
495,1,619176
495,2,344955
495,3,420775
497,1,472107
497,2,440421
497,3,472378
507,1,523484
507,2,520167
507,3,341255
512,1,386950
512,2,605324
512,3,392632
517,1,386950
517,2,576955
517,3,421001
527,1,386950
527,2,570081
527,3,427875
529,1,567799
529,2,486336
529,3,330771
531,1,341035
531,2,454238
531,3,589633
533,1,611384
533,2,365947
533,3,407575
534,1,528557
534,2,408323
534,3,448026
536,1,386950
536,2,570081
536,3,427875
537,1,386950
537,2,488069
537,3,509887
547,1,509667
547,2,344955
547,3,530284
553,1,534034
553,2,458240
553,3,392632
562,1,472107
562,2,571544
562,3,341255
571,1,408558
571,2,533984
571,3,442364
577,1,534034
577,2,458240
577,3,392632
584,1,497333
584,2,377686
584,3,509887
596,1,534034
596,2,340985
596,3,509887
603,1,497333
603,2,377686
603,3,509887
614,1,534034
614,2,340985
614,3,509887
618,1,341035
618,2,533984
618,3,509887
619,1,426192
619,2,344955
619,3,613759
620,1,582490
620,2,330038
620,3,472378
640,1,461650
640,2,475230
640,3,448026
648,1,497333
648,2,377686
648,3,509887
695,1,497333
695,2,377686
695,3,509887
706,1,497333
706,2,415195
706,3,472378
717,1,587950
717,2,454238
717,3,342718
718,1,564853
718,2,324860
718,3,495193
731,1,554522
731,2,409383
731,3,421001
741,1,543861
741,2,345459
741,3,495586
752,1,386950
752,2,488069
752,3,509887
758,1,619191
758,2,373083
758,3,392632
760,1,482642
760,2,454238
760,3,448026
773,1,461650
773,2,345459
773,3,577797
785,1,528557
785,2,537983
785,3,318366
792,1,482642
792,2,533984
792,3,368280
793,1,386950
793,2,605324
793,3,392632
795,1,528557
795,2,408323
795,3,448026
803,1,386950
803,2,488069
803,3,509887
808,1,534034
808,2,373083
808,3,477789
811,1,426192
811,2,566082
811,3,392632
812,1,509667
812,2,533984
812,3,341255
820,1,528557
820,2,408323
820,3,448026
822,1,386950
822,2,408323
822,3,589633
837,1,591007
837,2,440421
837,3,353478
838,1,543861
838,2,365947
838,3,475098
840,1,461650
840,2,345852
840,3,577404
851,1,497333
851,2,377686
851,3,509887
863,1,528557
863,2,525578
863,3,330771
867,1,554522
867,2,320497
867,3,509887
883,1,534034
883,2,340985
883,3,509887
904,1,320043
904,2,475230
904,3,589633
941,1,517044
941,2,475230
941,3,392632
975,1,386950
975,2,408323
975,3,589633
980,1,534034
980,2,422997
980,3,427875
1016,1,482642
1016,2,304372
1016,3,597892
1019,1,497333
1019,2,409784
1019,3,477789
1024,1,534034
1024,2,340985
1024,3,509887
1030,1,386950
1030,2,488069
1030,3,509887
1051,1,534034
1051,2,340985
1051,3,509887
1054,1,497333
1054,2,377686
1054,3,509887
1061,1,386950
1061,2,408323
1061,3,589633
1065,1,482642
1065,2,344955
1065,3,557309
1084,1,497333
1084,2,409784
1084,3,477789
1129,1,386950
1129,2,488069
1129,3,509887
1136,1,528557
1136,2,520167
1136,3,336182
1138,1,528557
1138,2,408323
1138,3,448026
1159,1,456577
1159,2,587074
1159,3,341255
1170,1,497333
1170,2,546318
1170,3,341255
1174,1,611384
1174,2,345852
1174,3,427670
1181,1,528557
1181,2,408323
1181,3,448026
1193,1,574617
1193,2,304131
1193,3,506158
1201,1,386950
1201,2,488069
1201,3,509887
1210,1,482642
1210,2,454238
1210,3,448026
1213,1,528557
1213,2,520167
1213,3,336182
1214,1,386950
1214,2,605324
1214,3,392632
1224,1,386950
1224,2,408323
1224,3,589633
1226,1,386950
1226,2,408323
1226,3,589633
1238,1,582490
1238,2,330038
1238,3,472378
1250,1,528557
1250,2,537983
1250,3,318366
1262,1,596080
1262,2,408323
1262,3,380503
1274,1,497333
1274,2,409784
1274,3,477789
1278,1,582490
1278,2,409784
1278,3,392632
1312,1,386950
1312,2,537983
1312,3,459973
1327,1,472723
1327,2,365947
1327,3,546236
1363,1,528557
1363,2,408323
1363,3,448026
1365,1,610768
1365,2,440421
1365,3,333717
1376,1,341035
1376,2,566082
1376,3,477789
1391,1,578905
1391,2,475230
1391,3,330771
1394,1,454473
1394,2,408323
1394,3,522110
1415,1,497333
1415,2,415195
1415,3,472378
1453,1,610768
1453,2,408323
1453,3,365815
1471,1,534034
1471,2,340985
1471,3,509887
1472,1,528557
1472,2,520167
1472,3,336182
1485,1,534034
1485,2,509617
1485,3,341255
1487,1,564853
1487,2,344955
1487,3,475098
1495,1,528557
1495,2,408323
1495,3,448026
1510,1,487212
1510,2,554976
1510,3,342718
1519,1,534034
1519,2,429871
1519,3,421001
1541,1,611384
1541,2,365947
1541,3,407575
1549,1,523484
1549,2,440421
1549,3,421001
1567,1,610768
1567,2,440421
1567,3,333717
1570,1,482642
1570,2,324860
1570,3,577404
1597,1,534034
1597,2,378494
1597,3,472378
1600,1,534034
1600,2,340985
1600,3,509887
1601,1,386950
1601,2,576955
1601,3,421001
1602,1,497333
1602,2,511075
1602,3,376498
1608,1,497333
1608,2,546318
1608,3,341255
1612,1,543861
1612,2,475230
1612,3,365815
1614,1,610768
1614,2,408323
1614,3,365815
1627,1,386950
1627,2,408323
1627,3,589633
1635,1,408558
1635,2,454238
1635,3,522110
1644,1,386950
1644,2,576955
1644,3,421001
1653,1,529173
1653,2,365947
1653,3,489786
1660,1,534034
1660,2,340985
1660,3,509887
1667,1,529173
1667,2,365947
1667,3,489786
1669,1,497333
1669,2,377686
1669,3,509887
1672,1,386950
1672,2,408323
1672,3,589633
1674,1,564853
1674,2,344955
1674,3,475098
1682,1,497333
1682,2,377686
1682,3,509887
1684,1,497333
1684,2,377686
1684,3,509887
1685,1,534034
1685,2,422997
1685,3,427875
1695,1,461650
1695,2,365947
1695,3,557309
1711,1,386950
1711,2,520167
1711,3,477789
1725,1,386950
1725,2,488069
1725,3,509887
1729,1,611384
1729,2,325364
1729,3,448158
1743,1,582490
1743,2,409784
1743,3,392632
1763,1,611384
1763,2,325364
1763,3,448158
1788,1,528557
1788,2,408323
1788,3,448026
1802,1,528557
1802,2,408323
1802,3,448026
1805,1,555582
1805,2,408323
1805,3,421001
1807,1,605559
1807,2,454238
1807,3,325109
1818,1,582490
1818,2,409784
1818,3,392632
1819,1,386950
1819,2,488069
1819,3,509887
1825,1,454473
1825,2,605324
1825,3,325109
1840,1,386950
1840,2,571544
1840,3,426412
1849,1,610768
1849,2,408323
1849,3,365815
1851,1,610768
1851,2,408323
1851,3,365815
1863,1,534034
1863,2,340985
1863,3,509887
1869,1,386950
1869,2,408323
1869,3,589633
1884,1,386950
1884,2,408323
1884,3,589633
1889,1,497333
1889,2,377686
1889,3,509887
1910,1,554522
1910,2,403972
1910,3,426412
1923,1,482642
1923,2,324860
1923,3,577404
1929,1,574617
1929,2,456811
1929,3,353478
1959,1,386950
1959,2,408323
1959,3,589633
1963,1,497333
1963,2,377686
1963,3,509887
1968,1,386950
1968,2,488069
1968,3,509887
1999,1,386950
1999,2,408323
1999,3,589633
2004,1,610768
2004,2,408323
2004,3,365815
2013,1,426192
2013,2,344955
2013,3,613759
2027,1,528557
2027,2,408323
2027,3,448026
2031,1,482642
2031,2,304372
2031,3,597892
2033,1,497333
2033,2,377686
2033,3,509887
2041,1,386950
2041,2,620194
2041,3,377762
2044,1,386950
2044,2,621458
2044,3,376498
2056,1,601557
2056,2,373083
2056,3,410266
2069,1,574617
2069,2,417657
2069,3,392632
2097,1,341035
2097,2,615996
2097,3,427875
2100,1,528557
2100,2,488069
2100,3,368280
2109,1,386950
2109,2,408323
2109,3,589633
2126,1,482642
2126,2,344955
2126,3,557309
2127,1,554522
2127,2,320497
2127,3,509887
2146,1,386950
2146,2,537983
2146,3,459973
2156,1,386950
2156,2,488069
2156,3,509887
2164,1,341035
2164,2,454238
2164,3,589633
2170,1,528557
2170,2,408323
2170,3,448026
2183,1,534034
2183,2,458240
2183,3,392632
2185,1,611384
2185,2,365947
2185,3,407575
2186,1,472107
2186,2,570081
2186,3,342718
2187,1,528557
2187,2,408323
2187,3,448026
2190,1,610768
2190,2,408323
2190,3,365815
2200,1,528557
2200,2,408323
2200,3,448026
2208,1,596080
2208,2,488069
2208,3,300757
2210,1,482642
2210,2,454238
2210,3,448026
2211,1,386950
2211,2,408323
2211,3,589633
2226,1,610768
2226,2,408323
2226,3,365815
2247,1,534034
2247,2,373083
2247,3,477789
2268,1,497333
2268,2,409784
2268,3,477789
2282,1,555582
2282,2,408323
2282,3,421001
2320,1,528557
2320,2,440421
2320,3,415928
2333,1,461650
2333,2,365947
2333,3,557309
2341,1,543861
2341,2,365947
2341,3,475098
2361,1,497333
2361,2,377686
2361,3,509887
2377,1,589413
2377,2,454238
2377,3,341255
2380,1,555582
2380,2,408323
2380,3,421001
2384,1,386950
2384,2,408323
2384,3,589633
2390,1,497333
2390,2,415195
2390,3,472378
2409,1,497333
2409,2,377686
2409,3,509887
2410,1,497333
2410,2,409784
2410,3,477789
2442,1,456577
2442,2,365947
2442,3,562382
2454,1,386950
2454,2,488069
2454,3,509887
2471,1,528557
2471,2,408323
2471,3,448026
2483,1,534034
2483,2,429871
