draw,district,total_pop
4,1,428252
4,2,422617
4,3,542216
4,4,470231
6,1,375377
6,2,475492
6,3,542216
6,4,470231
12,1,381160
12,2,457584
12,3,554341
12,4,470231
15,1,540248
15,2,428252
15,3,424585
15,4,470231
18,1,542216
18,2,462117
18,3,388752
18,4,470231
32,1,444646
32,2,406223
32,3,542216
32,4,470231
34,1,460547
34,2,444646
34,3,487892
34,4,470231
37,1,496414
37,2,515511
37,3,381160
37,4,470231
44,1,388752
44,2,462117
44,3,542216
44,4,470231
45,1,381160
45,2,462117
45,3,549808
45,4,470231
46,1,381160
46,2,489068
46,3,522857
46,4,470231
48,1,471597
48,2,460941
48,3,460547
48,4,470231
50,1,381160
50,2,477962
50,3,533963
50,4,470231
51,1,554341
51,2,457584
51,3,381160
51,4,470231
54,1,381160
54,2,462117
54,3,549808
54,4,470231
59,1,472848
59,2,417594
59,3,502643
59,4,470231
61,1,428252
61,2,422617
61,3,542216
61,4,470231
67,1,406223
67,2,444646
67,3,542216
67,4,470231
69,1,381160
69,2,462117
69,3,549808
69,4,470231
76,1,508476
76,2,456357
76,3,428252
76,4,470231
77,1,472848
77,2,486249
77,3,433988
77,4,470231
79,1,475492
79,2,460547
79,3,457046
79,4,470231
84,1,381160
84,2,489068
84,3,522857
84,4,470231
86,1,542216
86,2,462117
86,3,388752
86,4,470231
87,1,462117
87,2,422492
87,3,508476
87,4,470231
92,1,381160
92,2,457584
92,3,554341
92,4,470231
104,1,381160
104,2,468242
104,3,543683
104,4,470231
105,1,381160
105,2,462117
105,3,549808
105,4,470231
110,1,462117
110,2,388752
110,3,542216
110,4,470231
111,1,542216
111,2,462117
111,3,388752
111,4,470231
115,1,462117
115,2,381160
115,3,549808
115,4,470231
121,1,373353
121,2,491785
121,3,527947
121,4,470231
122,1,381160
122,2,457584
122,3,554341
122,4,470231
128,1,422617
128,2,428252
128,3,542216
128,4,470231
136,1,542216
136,2,462117
136,3,388752
136,4,470231
137,1,422617
137,2,428252
137,3,542216
137,4,470231
138,1,502443
138,2,509482
138,3,381160
138,4,470231
139,1,496414
139,2,515511
139,3,381160
139,4,470231
140,1,496175
140,2,460939
140,3,435971
140,4,470231
144,1,381160
144,2,468242
144,3,543683
144,4,470231
147,1,538997
147,2,472928
147,3,381160
147,4,470231
148,1,381160
148,2,502443
148,3,509482
148,4,470231
151,1,508476
151,2,508956
151,3,375653
151,4,470231
152,1,406223
152,2,542216
152,3,444646
152,4,470231
157,1,375377
157,2,475492
157,3,542216
157,4,470231
158,1,462117
158,2,388752
158,3,542216
158,4,470231
172,1,462117
172,2,388752
172,3,542216
172,4,470231
175,1,428252
175,2,422617
175,3,542216
175,4,470231
176,1,526169
176,2,485756
176,3,381160
176,4,470231
178,1,460547
178,2,444646
178,3,487892
