draw,district,total_pop
21,1,499748
21,2,424285
21,3,460861
21,4,422933
21,5,469395
21,6,474747
57,1,440470
57,2,499748
57,3,422052
57,4,487127
57,5,472662
57,6,429910
61,1,499748
61,2,473595
61,3,422933
61,4,452524
61,5,469395
61,6,433774
87,1,417577
87,2,499748
87,3,422933
87,4,469395
87,5,501846
87,6,440470
97,1,472662
97,2,499748
97,3,464151
97,4,422898
97,5,443878
97,6,448632
150,1,452524
150,2,499748
150,3,422933
150,4,465433
150,5,469395
150,6,441936
168,1,472662
168,2,487127
168,3,429910
168,4,499748
168,5,440977
168,6,421545
170,1,471002
170,2,501408
170,3,464151
170,4,468545
170,5,425318
170,6,421545
180,1,472662
180,2,419797
180,3,499748
180,4,464151
180,5,441936
180,6,453675
185,1,461378
185,2,469395
185,3,499748
185,4,430642
185,5,460861
185,6,429945
203,1,469395
203,2,447070
203,3,499748
203,4,475169
203,5,437654
203,6,422933
206,1,494008
206,2,499748
206,3,487127
206,4,432329
206,5,417212
206,6,421545
230,1,472662
230,2,499748
230,3,487127
230,4,429910
230,5,428748
230,6,433774
248,1,487127
248,2,472662
248,3,499748
248,4,428748
248,5,433774
248,6,429910
262,1,472662
262,2,499748
262,3,487127
262,4,453675
262,5,417212
262,6,421545
274,1,487127
274,2,472662
274,3,499748
274,4,417212
274,5,421545
274,6,453675
276,1,499748
276,2,437654
276,3,460861
276,4,461378
276,5,469395
276,6,422933
277,1,432329
277,2,464151
277,3,499748
277,4,494008
277,5,432026
277,6,429707
283,1,499748
283,2,494008
283,3,433774
283,4,432329
283,5,427959
283,6,464151
319,1,417212
319,2,472662
319,3,453675
319,4,421545
319,5,499748
319,6,487127
321,1,494008
321,2,499748
321,3,421263
321,4,432329
321,5,440470
321,6,464151
368,1,417212
368,2,499748
368,3,453675
368,4,487127
368,5,472662
368,6,421545
384,1,471002
384,2,464151
384,3,427959
384,4,453675
384,5,501408
384,6,433774
388,1,422933
388,2,499748
388,3,446508
388,4,469395
388,5,448632
388,6,464753
391,1,469395
391,2,417577
391,3,422933
391,4,499748
391,5,449883
391,6,492433
447,1,471002
447,2,501408
447,3,487127
447,4,417212
447,5,421545
447,6,453675
470,1,441936
470,2,437654
470,3,499748
470,4,469395
470,5,480303
470,6,422933
473,1,421263
473,2,499748
473,3,494008
473,4,464151
473,5,440470
473,6,432329
486,1,469395
486,2,424285
486,3,499748
486,4,422933
486,5,485725
486,6,449883
495,1,421263
495,2,499748
495,3,494008
495,4,464151
495,5,440470
495,6,432329
509,1,469395
509,2,446508
509,3,499748
509,4,460861
509,5,452524
509,6,422933
525,1,469395
525,2,489617
525,3,499748
525,4,433774
525,5,422933
525,6,436502
564,1,499748
564,2,429945
564,3,473595
564,4,469395
564,5,445512
564,6,433774
578,1,493978
578,2,501408
578,3,464151
578,4,437768
578,5,433119
578,6,421545
580,1,452699
580,2,422933
580,3,454670
580,4,499748
580,5,452524
580,6,469395
610,1,413101
610,2,472662
610,3,448632
610,4,464151
610,5,499748
610,6,453675
619,1,494008
619,2,413101
619,3,432329
619,4,464151
619,5,499748
619,6,448632
630,1,499748
630,2,422933
630,3,494094
630,4,469395
630,5,413275
630,6,452524
643,1,499748
643,2,429910
643,3,487127
643,4,472662
643,5,432815
643,6,429707
657,1,499748
657,2,453675
657,3,487127
657,4,421545
657,5,472662
657,6,417212
660,1,492348
660,2,501408
660,3,464151
660,4,432329
660,5,427959
660,6,433774
674,1,494008
674,2,499748
674,3,487127
674,4,432329
674,5,417212
674,6,421545
688,1,421263
688,2,501408
688,3,464151
688,4,440470
688,5,471002
688,6,453675
728,1,472662
728,2,499748
728,3,464151
728,4,429910
728,5,432799
728,6,452699
739,1,417212
739,2,499748
739,3,453675
739,4,487127
739,5,472662
739,6,421545
741,1,464151
741,2,421545
741,3,494008
741,4,432329
741,5,440188
741,6,499748
751,1,494008
751,2,499748
751,3,421263
751,4,432329
751,5,440470
751,6,464151
759,1,472662
759,2,421545
759,3,464151
759,4,499748
759,5,440188
759,6,453675
770,1,441936
770,2,437654
770,3,499748
770,4,469395
770,5,480303
770,6,422933
777,1,494008
777,2,499748
777,3,487127
777,4,432329
777,5,417212
777,6,421545
811,1,441936
811,2,437654
811,3,499748
811,4,469395
811,5,480303
811,6,422933
817,1,487127
817,2,472662
817,3,499748
817,4,455662
817,5,415225
817,6,421545
821,1,494008
821,2,499748
821,3,464151
