draw,district,total_pop
11,1,561107
11,2,413006
11,3,353569
14,1,448303
14,2,466111
14,3,413268
34,1,311925
34,2,441601
34,3,574156
40,1,311925
40,2,556960
40,3,458797
50,1,561107
50,2,440702
50,3,325873
55,1,561107
55,2,455696
55,3,310879
60,1,448303
60,2,466111
60,3,413268
61,1,561107
61,2,413006
61,3,353569
67,1,448303
67,2,466111
67,3,413268
73,1,311925
73,2,441601
73,3,574156
74,1,352498
74,2,526881
74,3,448303
75,1,448303
75,2,352498
75,3,526881
81,1,448303
81,2,553506
81,3,325873
93,1,448303
93,2,513386
93,3,365993
96,1,448303
96,2,420582
96,3,458797
104,1,448303
104,2,525810
104,3,353569
106,1,311925
106,2,572784
106,3,442973
111,1,525810
111,2,353569
111,3,448303
123,1,311925
123,2,488876
123,3,526881
125,1,311925
125,2,441601
125,3,574156
128,1,448303
128,2,466111
128,3,413268
129,1,352498
129,2,526881
129,3,448303
132,1,561107
132,2,436058
132,3,330517
136,1,448303
136,2,525810
136,3,353569
143,1,561107
143,2,353307
143,3,413268
159,1,561107
159,2,400582
159,3,365993
160,1,561107
160,2,413006
160,3,353569
164,1,448303
164,2,466111
164,3,413268
168,1,561107
168,2,353307
168,3,413268
174,1,513386
174,2,365993
174,3,448303
177,1,561107
177,2,353307
177,3,413268
179,1,561107
179,2,400582
179,3,365993
187,1,561107
187,2,353307
187,3,413268
190,1,384560
190,2,494819
190,3,448303
193,1,311925
193,2,441601
193,3,574156
198,1,466111
198,2,413268
198,3,448303
199,1,448303
199,2,466111
199,3,413268
208,1,561107
208,2,413006
208,3,353569
212,1,561107
212,2,455696
212,3,310879
217,1,561107
217,2,353307
217,3,413268
219,1,311925
219,2,441601
219,3,574156
223,1,448303
223,2,548310
223,3,331069
225,1,466111
225,2,413268
225,3,448303
229,1,536438
229,2,342941
229,3,448303
230,1,448303
230,2,466111
230,3,413268
237,1,448303
237,2,568500
237,3,310879
239,1,561107
239,2,400582
239,3,365993
240,1,558021
240,2,321358
240,3,448303
241,1,561107
241,2,436058
241,3,330517
254,1,352498
254,2,526881
254,3,448303
264,1,352498
264,2,526881
264,3,448303
265,1,561107
265,2,353307
265,3,413268
266,1,561107
266,2,423634
266,3,342941
271,1,311925
271,2,488876
271,3,526881
272,1,561107
272,2,455696
272,3,310879
275,1,382778
275,2,496601
275,3,448303
276,1,420185
276,2,459194
276,3,448303
278,1,311925
278,2,441601
278,3,574156
285,1,545448
285,2,333931
285,3,448303
286,1,420185
286,2,459194
286,3,448303
289,1,561107
289,2,330830
289,3,435745
293,1,561107
293,2,353307
293,3,413268
307,1,561107
307,2,400582
