draw,district,total_pop
5,1,518021
5,2,326336
5,3,479325
10,1,318966
10,2,525391
10,3,479325
14,1,360071
14,2,484286
14,3,479325
15,1,518021
15,2,326336
15,3,479325
17,1,318966
17,2,525391
17,3,479325
26,1,318966
26,2,525391
26,3,479325
27,1,326336
27,2,518021
27,3,479325
38,1,326336
38,2,518021
38,3,479325
39,1,360071
39,2,484286
39,3,479325
46,1,518021
46,2,326336
46,3,479325
57,1,518021
57,2,326336
57,3,479325
60,1,518021
60,2,326336
60,3,479325
66,1,326336
66,2,518021
66,3,479325
68,1,484286
68,2,360071
68,3,479325
69,1,518021
69,2,326336
69,3,479325
70,1,360071
70,2,484286
70,3,479325
71,1,360071
71,2,484286
71,3,479325
74,1,326336
74,2,518021
74,3,479325
76,1,525391
76,2,318966
76,3,479325
79,1,360071
79,2,484286
79,3,479325
81,1,484286
81,2,360071
81,3,479325
84,1,318966
84,2,525391
84,3,479325
91,1,318966
91,2,525391
91,3,479325
93,1,518021
93,2,326336
93,3,479325
100,1,525391
100,2,318966
100,3,479325
106,1,326336
106,2,518021
106,3,479325
108,1,318966
108,2,525391
108,3,479325
113,1,518021
113,2,326336
113,3,479325
115,1,318966
115,2,525391
115,3,479325
116,1,518021
116,2,326336
116,3,479325
117,1,525391
117,2,318966
117,3,479325
119,1,525391
119,2,318966
119,3,479325
121,1,318966
121,2,525391
121,3,479325
124,1,326336
124,2,518021
124,3,479325
130,1,518021
130,2,326336
130,3,479325
133,1,525391
133,2,318966
133,3,479325
142,1,518021
142,2,326336
142,3,479325
150,1,525391
150,2,318966
150,3,479325
153,1,326336
153,2,518021
153,3,479325
155,1,326336
155,2,518021
155,3,479325
159,1,326336
159,2,518021
159,3,479325
168,1,518021
168,2,326336
168,3,479325
170,1,326336
170,2,518021
170,3,479325
173,1,318966
173,2,525391
173,3,479325
174,1,360071
174,2,484286
174,3,479325
179,1,518021
179,2,326336
179,3,479325
185,1,326336
185,2,518021
185,3,479325
187,1,518021
187,2,326336
187,3,479325
189,1,326336
189,2,518021
189,3,479325
191,1,318966
191,2,525391
191,3,479325
199,1,525391
199,2,318966
199,3,479325
207,1,518021
207,2,326336
207,3,479325
209,1,326336
209,2,518021
209,3,479325
210,1,518021
210,2,326336
210,3,479325
222,1,360071
222,2,484286
222,3,479325
226,1,360071
226,2,484286
226,3,479325
233,1,360071
233,2,484286
233,3,479325
235,1,360071
235,2,484286
235,3,479325
236,1,518021
236,2,326336
236,3,479325
237,1,484286
237,2,360071
237,3,479325
238,1,360071
238,2,484286
238,3,479325
240,1,326336
240,2,518021
240,3,479325
244,1,360071
244,2,484286
244,3,479325
248,1,518021
248,2,326336
