draw,district,total_pop
10, 1,393873
10, 2,350664
10, 3,512938
10, 4,460057
10, 5,499659
10, 6,406724
10, 7,575965
10, 8,564779
10, 9,372612
10,10,387056
10,11,544188
26, 1,560720
26, 2,393873
26, 3,388630
26, 4,561701
26, 5,384834
26, 6,558032
26, 7,438551
26, 8,414187
26, 9,534409
26,10,452271
26,11,381307
33, 1,457292
33, 2,393873
33, 3,526651
33, 4,406639
33, 5,510169
33, 6,388630
33, 7,558032
33, 8,566823
33, 9,346891
33,10,465246
33,11,448269
37, 1,457292
37, 2,410832
37, 3,393873
37, 4,552323
37, 5,388630
37, 6,495745
37, 7,420238
37, 8,456728
37, 9,395868
37,10,544188
37,11,552798
44, 1,544188
44, 2,417267
44, 3,552798
44, 4,364466
44, 5,393873
44, 6,426502
44, 7,460057
44, 8,546059
44, 9,460530
44,10,522971
44,11,379804
49, 1,393873
49, 2,414964
49, 3,552798
49, 4,366769
49, 5,552323
49, 6,460057
49, 7,544188
49, 8,521540
49, 9,518257
49,10,384834
49,11,358912
51, 1,373001
51, 2,502120
51, 3,393873
51, 4,352064
51, 5,505859
51, 6,544188
51, 7,406887
51, 8,552798
51, 9,470441
51,10,408732
51,11,558552
56, 1,393873
56, 2,384834
56, 3,529997
56, 4,457292
56, 5,388630
56, 6,558032
56, 7,401857
56, 8,503577
56, 9,546739
56,10,555699
56,11,347985
75, 1,560720
75, 2,393873
75, 3,388630
75, 4,561701
75, 5,384834
75, 6,558032
75, 7,438551
75, 8,414187
75, 9,534409
75,10,452271
75,11,381307
82, 1,391863
82, 2,457292
82, 3,552798
82, 4,393873
82, 5,544188
82, 6,420614
82, 7,412574
82, 8,460057
82, 9,462370
82,10,436883
82,11,536003
93, 1,393873
93, 2,457292
93, 3,371134
93, 4,544188
93, 5,404550
93, 6,526651
93, 7,505859
93, 8,497585
93, 9,349056
93,10,496426
93,11,521901
98, 1,483938
98, 2,544188
98, 3,393873
98, 4,388630
98, 5,457292
98, 6,352064
98, 7,395868
98, 8,515496
98, 9,526651
98,10,495745
98,11,514770
103, 1,398874
103, 2,568682
103, 3,414964
103, 4,350664
103, 5,468686
103, 6,556186
103, 7,366769
103, 8,544188
103, 9,393873
103,10,460057
103,11,545572
117, 1,384834
117, 2,528448
117, 3,565338
117, 4,393873
117, 5,461813
117, 6,448381
117, 7,388630
117, 8,544188
117, 9,400322
117,10,399027
117,11,553661
120, 1,366104
120, 2,552504
120, 3,521359
120, 4,420587
120, 5,393873
120, 6,552798
120, 7,366769
120, 8,544188
120, 9,505859
120,10,429510
120,11,414964
125, 1,510743
125, 2,494409
125, 3,526651
125, 4,544188
125, 5,408245
125, 6,480549
125, 7,364242
125, 8,503318
125, 9,471406
125,10,387056
125,11,377708
130, 1,457292
130, 2,393873
130, 3,526651
130, 4,406639
130, 5,510169
130, 6,388630
130, 7,558032
130, 8,566823
130, 9,346891
130,10,566548
130,11,346967
140, 1,498208
140, 2,461813
140, 3,412574
140, 4,553661
140, 5,387056
140, 6,454986
140, 7,455081
140, 8,393873
140, 9,495272
140,10,411803
140,11,544188
142, 1,457292
142, 2,410832
142, 3,393873
142, 4,552323
142, 5,388630
142, 6,495745
142, 7,420238
142, 8,456728
142, 9,552798
142,10,395868
142,11,544188
145, 1,483938
145, 2,544188
145, 3,393873
145, 4,388630
145, 5,457292
145, 6,352064
145, 7,395868
145, 8,515496
145, 9,526651
145,10,495745
145,11,514770
166, 1,519691
166, 2,455081
166, 3,500760
166, 4,384834
166, 5,385117
166, 6,472226
166, 7,393873
166, 8,544188
166, 9,366769
166,10,505859
166,11,540117
169, 1,534784
169, 2,441690
169, 3,366104
169, 4,393873
169, 5,518331
169, 6,362096
169, 7,565338
169, 8,417904
169, 9,460057
169,10,464150
169,11,544188
180, 1,461632
180, 2,352064
180, 3,348396
180, 4,537339
180, 5,393873
180, 6,388630
180, 7,386046
180, 8,553661
180, 9,530757
180,10,558032
180,11,558085
182, 1,544188
182, 2,417267
182, 3,552798
182, 4,364466
182, 5,393873
182, 6,426502
182, 7,350664
182, 8,530685
182, 9,412574
182,10,534424
182,11,541074
184, 1,457292
184, 2,393873
184, 3,526651
184, 4,406639
184, 5,510169
184, 6,388630
184, 7,558032
184, 8,405382
184, 9,566823
184,10,508057
184,11,346967
188, 1,483938
188, 2,544188
188, 3,393873
188, 4,388630
188, 5,457292
188, 6,352064
188, 7,395868
188, 8,515496
188, 9,526651
188,10,495745
188,11,514770
192, 1,483938
192, 2,544188
192, 3,393873
192, 4,388630
192, 5,457292
192, 6,352064
192, 7,395868
192, 8,515496
192, 9,526651
192,10,495745
192,11,514770
218, 1,483938
218, 2,544188
218, 3,393873
218, 4,388630
218, 5,457292
218, 6,352064
218, 7,395868
218, 8,515496
218, 9,526651
218,10,495745
218,11,514770
222, 1,393873
222, 2,457292
222, 3,371134
222, 4,544188
222, 5,442693
222, 6,531641
222, 7,505859
222, 8,456661
222, 9,526651
222,10,462370
222,11,376153
226, 1,388630
226, 2,393873
226, 3,374117
226, 4,534471
226, 5,496761
226, 6,457292
226, 7,412574
226, 8,350327
226, 9,546739
226,10,555699
226,11,558032
236, 1,391863
236, 2,457292
236, 3,552798
236, 4,393873
236, 5,470441
236, 6,387056
236, 7,544188
236, 8,388630
