draw,district,total_pop
5,1,325465
5,2,511939
5,3,466596
10,1,394948
10,2,406963
10,3,502089
11,1,325465
11,2,442183
11,3,536352
17,1,343227
17,2,517497
17,3,443276
19,1,385545
19,2,523457
19,3,394998
24,1,385545
24,2,442183
24,3,476272
41,1,386502
41,2,406963
41,3,510535
42,1,343227
42,2,476719
42,3,484054
50,1,366762
50,2,406963
50,3,530275
51,1,340945
51,2,406963
51,3,556092
54,1,343227
54,2,406963
54,3,553810
56,1,491483
56,2,365798
56,3,446719
57,1,366762
57,2,406963
57,3,530275
61,1,351282
61,2,442183
61,3,510535
65,1,394948
65,2,406963
65,3,502089
67,1,420765
67,2,406963
67,3,476272
68,1,489201
68,2,328463
68,3,486336
73,1,386502
73,2,406963
73,3,510535
75,1,386502
75,2,406963
75,3,510535
78,1,534758
78,2,328463
78,3,440779
81,1,343227
81,2,406963
81,3,553810
86,1,308007
86,2,442183
86,3,553810
92,1,359728
92,2,442183
92,3,502089
94,1,420765
94,2,406963
94,3,476272
96,1,343227
96,2,406963
96,3,553810
97,1,343227
97,2,406963
97,3,553810
98,1,343227
98,2,406963
98,3,553810
99,1,359728
99,2,511939
99,3,432333
103,1,360685
103,2,488237
103,3,455078
107,1,331542
107,2,442183
107,3,530275
111,1,534758
111,2,328463
111,3,440779
113,1,343227
113,2,406963
113,3,553810
117,1,385545
117,2,442183
117,3,476272
125,1,489201
125,2,328463
125,3,486336
126,1,305725
126,2,442183
126,3,556092
128,1,331542
128,2,526900
128,3,445558
132,1,308007
132,2,442183
132,3,553810
134,1,340945
134,2,406963
134,3,556092
136,1,305725
136,2,442183
136,3,556092
137,1,308007
137,2,442183
137,3,553810
140,1,308007
140,2,511939
140,3,484054
143,1,420765
143,2,406963
143,3,476272
144,1,508941
144,2,328463
144,3,466596
145,1,343227
145,2,406963
145,3,553810
146,1,325465
146,2,442183
146,3,536352
148,1,343227
148,2,406963
148,3,553810
149,1,360685
149,2,406963
149,3,536352
151,1,308007
151,2,442183
151,3,553810
154,1,305725
154,2,511939
154,3,486336
155,1,331542
155,2,511939
155,3,460519
160,1,351282
160,2,442183
160,3,510535
164,1,360685
164,2,406963
164,3,536352
170,1,305725
170,2,442183
170,3,556092
173,1,343227
173,2,517497
173,3,443276
181,1,305725
181,2,511939
181,3,486336
193,1,420765
193,2,406963
193,3,476272
195,1,343227
195,2,406963
195,3,553810
196,1,385545
196,2,442183
196,3,476272
201,1,340945
201,2,476719
201,3,486336
204,1,343227
204,2,406963
204,3,553810
207,1,305725
207,2,442183
207,3,556092
210,1,491483
210,2,328463
210,3,484054
213,1,305725
213,2,442183
213,3,556092
215,1,569021
