draw,district,total_pop
1,1,431427
1,2,487130
1,3,449261
1,4,440142
1,5,474583
2,1,431427
2,2,487130
2,3,462786
2,4,489470
2,5,411730
4,1,432724
4,2,487130
4,3,436001
4,4,431427
4,5,495261
19,1,471436
19,2,436001
19,3,413393
19,4,474583
19,5,487130
25,1,461058
25,2,487130
25,3,431427
25,4,453667
25,5,449261
35,1,487130
35,2,436001
35,3,461136
35,4,466849
35,5,431427
41,1,456995
41,2,431427
41,3,440142
41,4,466849
41,5,487130
42,1,436001
42,2,443437
42,3,466849
42,4,457086
42,5,479170
65,1,436001
65,2,464825
65,3,487130
65,4,480109
65,5,414478
67,1,461136
67,2,431427
67,3,487130
67,4,466849
67,5,436001
69,1,466849
69,2,436001
69,3,479170
69,4,487130
69,5,413393
86,1,482859
86,2,415495
86,3,436001
86,4,461058
86,5,487130
88,1,482859
88,2,415495
88,3,436001
88,4,461058
88,5,487130
92,1,487130
92,2,419464
92,3,449261
92,4,431427
92,5,495261
93,1,449261
93,2,443437
93,3,457086
93,4,458176
93,5,474583
100,1,436001
100,2,413393
100,3,487130
100,4,465910
100,5,480109
117,1,443437
117,2,468792
117,3,475120
117,4,449261
117,5,445933
125,1,487130
125,2,436001
125,3,466849
125,4,461136
125,5,431427
132,1,449261
132,2,487130
132,3,465910
132,4,466849
132,5,413393
138,1,413393
138,2,487130
138,3,461058
138,4,471701
138,5,449261
143,1,458176
143,2,436001
143,3,487130
143,4,487843
143,5,413393
148,1,436001
148,2,487130
148,3,464825
148,4,461058
148,5,433529
149,1,413393
149,2,465910
149,3,487130
149,4,449261
149,5,466849
151,1,436001
151,2,466849
151,3,487130
151,4,461136
151,5,431427
153,1,429764
153,2,487130
153,3,413393
153,4,456995
153,5,495261
155,1,487130
155,2,449261
155,3,474583
155,4,440142
155,5,431427
157,1,436001
157,2,440142
157,3,487130
157,4,431427
157,5,487843
166,1,456995
166,2,466849
166,3,440142
166,4,431427
166,5,487130
176,1,487130
176,2,431427
176,3,489470
176,4,449261
176,5,425255
180,1,465910
180,2,449261
180,3,413393
180,4,466849
180,5,487130
187,1,453667
187,2,436001
187,3,487130
187,4,474318
187,5,431427
190,1,411730
190,2,456995
190,3,495261
190,4,443437
190,5,475120
191,1,443437
191,2,471701
191,3,449261
191,4,457086
191,5,461058
198,1,487130
198,2,449261
198,3,413393
198,4,458176
198,5,474583
207,1,436001
207,2,461058
207,3,466927
