draw,district,total_pop
9,1,483592
9,2,489607
9,3,429798
9,4,417287
19,1,489607
19,2,421526
19,3,491904
19,4,417247
20,1,491864
20,2,421526
20,3,489607
20,4,417287
22,1,447174
22,2,456087
22,3,443751
22,4,473272
42,1,412422
42,2,489607
42,3,439861
42,4,478394
44,1,443536
44,2,470174
44,3,491904
44,4,414670
45,1,447174
45,2,496626
45,3,461814
45,4,414670
46,1,417247
46,2,454561
46,3,458869
46,4,489607
53,1,414670
53,2,470174
53,3,443536
53,4,491904
54,1,491864
54,2,417287
54,3,421526
54,4,489607
62,1,414670
62,2,496463
62,3,491904
62,4,417247
64,1,443536
64,2,489607
64,3,454561
64,4,432580
65,1,491904
65,2,473272
65,3,437861
65,4,417247
68,1,447174
68,2,421689
68,3,461814
68,4,489607
70,1,419296
70,2,489607
70,3,432987
70,4,478394
73,1,417247
73,2,421526
73,3,489607
73,4,491904
76,1,473272
76,2,437861
76,3,491864
76,4,417287
81,1,473272
81,2,429798
81,3,447174
81,4,470040
82,1,409831
82,2,493430
82,3,443751
82,4,473272
87,1,491904
87,2,411572
87,3,443536
87,4,473272
94,1,491904
94,2,421526
94,3,473272
94,4,433582
95,1,442452
95,2,409831
95,3,478394
95,4,489607
114,1,489607
114,2,416328
114,3,442452
114,4,471897
116,1,409831
116,2,473272
116,3,442452
116,4,494729
119,1,437091
119,2,489607
119,3,483755
119,4,409831
121,1,431105
121,2,465232
121,3,450675
121,4,473272
125,1,422306
125,2,473272
125,3,456795
125,4,467911
129,1,421689
129,2,452193
129,3,456795
129,4,489607
130,1,476736
130,2,456087
130,3,470174
130,4,417287
134,1,489607
134,2,486845
134,3,422306
134,4,421526
150,1,473272
150,2,443751
150,3,452193
150,4,451068
151,1,480443
151,2,432987
151,3,473272
151,4,433582
154,1,454561
154,2,448700
154,3,432895
154,4,484128
155,1,489607
155,2,442452
155,3,478394
155,4,409831
158,1,443536
158,2,473272
158,3,491904
158,4,411572
169,1,414670
169,2,417247
169,3,491904
169,4,496463
171,1,421526
171,2,491864
171,3,489607
171,4,417287
181,1,417247
181,2,421526
181,3,489607
181,4,491904
187,1,461814
187,2,409831
187,3,459032
187,4,489607
192,1,461814
192,2,409831
192,3,459032
192,4,489607
198,1,417247
198,2,454561
198,3,458869
198,4,489607
199,1,417247
199,2,489607
199,3,454561
199,4,458869
202,1,437091
202,2,489607
202,3,483755
202,4,409831
204,1,437861
204,2,491864
204,3,473272
204,4,417287
205,1,447174
205,2,429798
205,3,470040
205,4,473272
208,1,429798
208,2,489607
208,3,491048
208,4,409831
211,1,417247
211,2,491904
211,3,437861
211,4,473272
216,1,473272
216,2,415817
216,3,431105
216,4,500090
222,1,491864
222,2,421526
222,3,489607
222,4,417287
224,1,484128
224,2,447174
224,3,462945
224,4,426037
244,1,421526
244,2,491904
244,3,489607
244,4,417247
252,1,458869
252,2,454561
252,3,489607
252,4,417247
255,1,494729
255,2,473272
255,3,432987
255,4,419296
258,1,421526
258,2,491904
258,3,489607
258,4,417247
265,1,421689
265,2,489607
265,3,499157
265,4,409831
270,1,426037
270,2,447174
270,3,462945
270,4,484128
273,1,432987
273,2,417247
273,3,480443
273,4,489607
275,1,491904
275,2,443536
275,3,470174
275,4,414670
277,1,421526
277,2,491904
277,3,489607
277,4,417247
282,1,473272
282,2,442452
282,3,494729
282,4,409831
284,1,458869
284,2,454561
284,3,473272
284,4,433582
289,1,491904
289,2,443536
289,3,470174
289,4,414670
307,1,458869
307,2,417247
307,3,454561
307,4,489607
311,1,421526
311,2,491904
311,3,473272
311,4,433582
315,1,431105
315,2,473272
315,3,450675
315,4,465232
324,1,489607
324,2,446131
324,3,462857
324,4,421689
328,1,447174
328,2,496626
328,3,461814
328,4,414670
352,1,443536
352,2,470174
352,3,491904
352,4,414670
365,1,443536
365,2,470174
365,3,491904
365,4,414670
367,1,476736
367,2,417287
367,3,435316
367,4,490945
372,1,437861
372,2,491864
372,3,473272
372,4,417287
374,1,432895
374,2,456087
374,3,447174
374,4,484128
380,1,491864
380,2,421526
380,3,489607
380,4,417287
382,1,489607
382,2,491048
382,3,429798
382,4,409831
391,1,429798
391,2,479353
391,3,421526
391,4,489607
399,1,489607
399,2,409831
399,3,453705
399,4,467141
400,1,473272
400,2,443536
400,3,491904
400,4,411572
403,1,429798
403,2,417287
403,3,483592
403,4,489607
405,1,421018
405,2,452193
405,3,457466
405,4,489607
407,1,417287
407,2,490945
407,3,432895
