draw,district,total_pop
1,1,382793
1,2,392762
1,3,372320
1,4,435941
1,5,437881
1,6,399846
1,7,387647
9,1,433596
9,2,434566
9,3,401499
9,4,381263
9,5,373524
9,6,422870
9,7,361872
26,1,435941
26,2,422870
26,3,365684
26,4,376076
26,5,384148
26,6,401499
26,7,422972
33,1,433596
33,2,401499
33,3,370001
33,4,382070
33,5,439708
33,6,399624
33,7,382692
73,1,363117
73,2,382070
73,3,401499
73,4,395579
73,5,432486
73,6,393617
73,7,440822
85,1,373524
85,2,401499
85,3,375753
85,4,413077
85,5,433596
85,6,381263
85,7,430478
93,1,412954
93,2,382793
93,3,412491
93,4,388465
93,5,418873
93,6,421294
93,7,372320
96,1,412954
96,2,382793
96,3,412491
96,4,441044
96,5,372320
96,6,398335
96,7,389253
103,1,382692
103,2,366807
103,3,411648
103,4,382070
103,5,401499
103,6,430878
103,7,433596
105,1,433596
105,2,435941
105,3,401499
105,4,389253
105,5,382070
105,6,394469
105,7,372362
123,1,368992
123,2,392762
123,3,373524
123,4,382793
123,5,414277
123,6,435941
123,7,440901
142,1,392762
142,2,368992
142,3,435941
142,4,382793
142,5,372320
142,6,415481
142,7,440901
162,1,422870
162,2,392762
162,3,432683
162,4,382793
162,5,372320
162,6,369821
162,7,435941
172,1,372320
172,2,382793
172,3,377662
172,4,435941
172,5,387647
172,6,422870
172,7,429957
173,1,435941
173,2,382793
173,3,414857
173,4,422870
173,5,387647
173,6,392762
173,7,372320
202,1,437881
202,2,432683
202,3,382793
202,4,392762
202,5,372320
202,6,396917
202,7,393834
207,1,377662
207,2,382793
207,3,435941
207,4,437881
207,5,372320
207,6,418501
207,7,384092
211,1,382692
211,2,366807
211,3,401499
211,4,411648
211,5,431518
211,6,403616
211,7,411410
221,1,425045
221,2,422870
221,3,435941
221,4,383167
221,5,382793
221,6,392762
221,7,366612
255,1,412954
255,2,382793
255,3,382692
255,4,372320
255,5,422870
255,6,412491
255,7,423070
266,1,382692
266,2,366807
266,3,411648
266,4,382070
266,5,401499
266,6,430878
266,7,433596
270,1,392762
270,2,382793
270,3,422870
270,4,435941
270,5,417297
270,6,384003
270,7,373524
272,1,435941
272,2,372320
272,3,440901
272,4,382793
272,5,368992
272,6,392762
