draw,district,total_pop
5,1,346427
5,2,304655
5,3,319721
5,4,414181
5,5,510754
7,1,278740
7,2,405481
7,3,312147
7,4,388616
7,5,510754
14,1,304655
14,2,319721
14,3,346427
14,4,414181
14,5,510754
17,1,346427
17,2,300043
17,3,362608
17,4,375906
17,5,510754
31,1,346427
31,2,414181
31,3,319721
31,4,304655
31,5,510754
44,1,330917
44,2,331734
44,3,346427
44,4,375906
44,5,510754
46,1,414181
46,2,346427
46,3,319721
46,4,304655
46,5,510754
82,1,388616
82,2,278740
82,3,312147
82,4,405481
82,5,510754
85,1,346427
85,2,304655
85,3,319721
85,4,414181
85,5,510754
87,1,304655
87,2,319721
87,3,346427
87,4,414181
87,5,510754
120,1,304655
120,2,319721
120,3,346427
120,4,414181
120,5,510754
131,1,304655
131,2,319721
131,3,346427
131,4,414181
131,5,510754
144,1,414181
144,2,346427
144,3,319721
144,4,304655
144,5,510754
161,1,375906
161,2,278740
161,3,346427
161,4,383911
161,5,510754
165,1,414181
165,2,346427
165,3,319721
165,4,304655
165,5,510754
172,1,330917
172,2,346427
172,3,304655
172,4,402985
172,5,510754
173,1,375906
173,2,362608
173,3,346427
173,4,300043
173,5,510754
210,1,300043
210,2,362608
210,3,346427
210,4,375906
210,5,510754
220,1,375906
220,2,346427
220,3,362608
220,4,300043
220,5,510754
221,1,346427
221,2,304655
221,3,319721
221,4,414181
221,5,510754
224,1,405481
224,2,307263
224,3,388616
224,4,283624
224,5,510754
245,1,330917
245,2,331734
245,3,346427
245,4,375906
245,5,510754
259,1,414181
259,2,346427
259,3,319721
259,4,304655
259,5,510754
264,1,405481
264,2,307263
264,3,388616
264,4,283624
264,5,510754
269,1,304655
269,2,319721
269,3,346427
269,4,414181
269,5,510754
273,1,330917
273,2,331734
273,3,346427
273,4,375906
273,5,510754
276,1,375906
276,2,346427
276,3,362608
276,4,300043
276,5,510754
282,1,346427
282,2,304655
282,3,319721
282,4,414181
282,5,510754
299,1,405481
299,2,307263
299,3,388616
299,4,283624
299,5,510754
321,1,319721
321,2,304655
321,3,346427
321,4,414181
321,5,510754
345,1,331734
345,2,330917
345,3,346427
345,4,375906
345,5,510754
354,1,331734
354,2,330917
354,3,346427
354,4,375906
354,5,510754
362,1,319721
362,2,304655
362,3,346427
362,4,414181
362,5,510754
393,1,304655
393,2,319721
393,3,346427
393,4,414181
393,5,510754
465,1,319721
465,2,414181
465,3,346427
465,4,304655
465,5,510754
466,1,319721
466,2,304655
466,3,346427
466,4,414181
466,5,510754
486,1,307263
486,2,388616
486,3,405481
486,4,283624
486,5,510754
489,1,346427
489,2,414181
489,3,319721
489,4,304655
489,5,510754
492,1,304655
492,2,319721
492,3,346427
492,4,414181
492,5,510754
498,1,300043
498,2,346427
498,3,362608
498,4,375906
498,5,510754
526,1,346427
526,2,304655
526,3,319721
526,4,414181
526,5,510754
530,1,405481
530,2,307263
530,3,388616
530,4,283624
530,5,510754
557,1,355565
557,2,346427
557,3,375906
557,4,307086
557,5,510754
573,1,346427
573,2,300043
573,3,362608
573,4,375906
573,5,510754
580,1,346427
580,2,330917
580,3,331734
580,4,375906
580,5,510754
599,1,319721
599,2,304655
599,3,346427
599,4,414181
599,5,510754
624,1,319721
624,2,414181
624,3,346427
624,4,304655
624,5,510754
639,1,331734
639,2,330917
639,3,346427
639,4,375906
639,5,510754
645,1,414181
645,2,346427
645,3,319721
645,4,304655
645,5,510754
679,1,346427
679,2,414181
679,3,319721
679,4,304655
679,5,510754
751,1,375906
751,2,362608
751,3,346427
751,4,300043
751,5,510754
756,1,300043
756,2,362608
756,3,346427
756,4,375906
756,5,510754
760,1,283624
760,2,405481
760,3,307263
760,4,388616
760,5,510754
773,1,414181
773,2,319721
773,3,346427
773,4,304655
773,5,510754
782,1,405481
782,2,278740
782,3,312147
782,4,388616
782,5,510754
785,1,362608
785,2,300043
785,3,346427
785,4,375906
785,5,510754
851,1,319721
851,2,414181
851,3,346427
851,4,304655
851,5,510754
859,1,278740
859,2,346427
859,3,375906
859,4,383911
859,5,510754
923,1,346427
923,2,304655
923,3,319721
923,4,414181
923,5,510754
941,1,304655
941,2,319721
941,3,346427
941,4,414181
941,5,510754
992,1,307263
992,2,405481
992,3,388616
992,4,283624
992,5,510754
1008,1,304655
1008,2,319721
1008,3,346427
1008,4,414181
1008,5,510754
1027,1,362608
1027,2,300043
1027,3,346427
1027,4,375906
1027,5,510754
1033,1,319721
1033,2,414181
1033,3,346427
1033,4,304655
1033,5,510754
1069,1,346427
1069,2,304655
1069,3,319721
1069,4,414181
1069,5,510754
1118,1,346427
1118,2,330917
1118,3,331734
1118,4,375906
1118,5,510754
1143,1,405481
1143,2,307263
1143,3,388616
1143,4,283624
1143,5,510754
1155,1,375906
1155,2,331734
1155,3,346427
1155,4,330917
1155,5,510754
1185,1,319721
1185,2,304655
1185,3,346427
1185,4,414181
1185,5,510754
1201,1,414181
1201,2,319721
1201,3,346427
1201,4,304655
1201,5,510754
1202,1,375906
1202,2,278740
1202,3,346427
1202,4,383911
1202,5,510754
1206,1,414181
1206,2,346427
1206,3,319721
1206,4,304655
1206,5,510754
1217,1,346427
1217,2,304655
1217,3,319721
1217,4,414181
1217,5,510754
1218,1,319721
1218,2,414181
1218,3,346427
1218,4,304655
1218,5,510754
1223,1,375906
1223,2,331734
1223,3,346427
1223,4,330917
1223,5,510754
1226,1,405481
1226,2,278740
1226,3,312147
1226,4,388616
1226,5,510754
1228,1,319721
1228,2,414181
1228,3,346427
1228,4,304655
1228,5,510754
1230,1,375906
1230,2,346427
1230,3,331734
1230,4,330917
1230,5,510754
1231,1,375906
1231,2,346427
1231,3,331734
1231,4,330917
1231,5,510754
1268,1,414181
1268,2,319721
1268,3,346427
1268,4,304655
1268,5,510754
1284,1,278740
1284,2,312147
1284,3,388616
1284,4,405481
1284,5,510754
1295,1,414181
1295,2,319721
1295,3,346427
1295,4,304655
1295,5,510754
1302,1,331734
1302,2,330917
1302,3,346427
