code,gun_code,pop,mun_name,sub_name,lh_2022
11101,110001,92576,さいたま市西区,-,5
11102,110002,147178,さいたま市北区,-,5
11103,110003,115425,さいたま市大宮区,-,5
11104,110004,16354,さいたま市見沼区,大和田町,1
11104,110005,0,さいたま市見沼区,砂町,1
11104,110006,8220,さいたま市見沼区,堀崎町,1
11104,110007,990,さいたま市見沼区,島町,1
11104,110008,4875,さいたま市見沼区,島町,1
11104,110009,25356,さいたま市見沼区,東大宮,1
11104,110010,500,さいたま市見沼区,片柳,1
11104,110011,2337,さいたま市見沼区,大字片柳,1
11104,110012,16,さいたま市見沼区,片柳東,1
11104,110013,468,さいたま市見沼区,大字山,1
11104,110014,1188,さいたま市見沼区,染谷,1
11104,110015,608,さいたま市見沼区,大字染谷,1
11104,110016,3915,さいたま市見沼区,大字東新井,1
11104,110017,240,さいたま市見沼区,大字笹丸,1
11104,110018,6395,さいたま市見沼区,大字御蔵,1
11104,110019,7598,さいたま市見沼区,大字南中野,1
11104,110020,9530,さいたま市見沼区,大字南中丸,1
11104,110021,7871,さいたま市見沼区,大字中川,1
11104,110022,712,さいたま市見沼区,大字上山口新田,1
11104,110023,50,さいたま市見沼区,大字西山村新田,1
11104,110024,91,さいたま市見沼区,大字新右エ門新田,1
11104,110025,0,さいたま市見沼区,加田屋,1
11104,110026,0,さいたま市見沼区,大字加田屋新田,1
11104,110027,0,さいたま市見沼区,大字西山新田,1
11104,110028,0,さいたま市見沼区,大字見山,1
11104,110029,629,さいたま市見沼区,大字膝子,1
11104,110030,9116,さいたま市見沼区,大字大谷,1
11104,110031,10227,さいたま市見沼区,大字蓮沼,1
11104,110032,4291,さいたま市見沼区,大字風渡野,1
11104,110033,3914,さいたま市見沼区,大字東門前,1
11104,110034,785,さいたま市見沼区,東宮下,1
11104,110035,3262,さいたま市見沼区,大字東宮下,1
11104,110036,2894,さいたま市見沼区,大字新堤,1
11104,110037,4220,さいたま市見沼区,深作,1
11104,110038,701,さいたま市見沼区,大字深作,1
11104,110039,1503,さいたま市見沼区,大字丸ケ崎,1
