code,gun_code,pop,mun_name,sub_name,lh_2022
14101,140001,285212,横浜市鶴見区,-,3
14102,140002,240826,横浜市神奈川区,-,3
14103,140003,100522,横浜市西区,-,2
14104,140004,138680,横浜市中区,-,1
14105,140005,188992,横浜市南区,-,2
14106,140006,202836,横浜市保土ケ谷区,-,6
14107,140007,162648,横浜市磯子区,-,1
14108,140008,196144,横浜市金沢区,-,1
14109,140009,352447,横浜市港北区,-,7
14110,140010,279831,横浜市戸塚区,-,5
14111,140011,212552,横浜市港南区,-,2
14112,140012,242479,横浜市旭区,-,6
14113,140013,179315,横浜市緑区,-,8
14114,140014,120918,横浜市瀬谷区,-,13
14115,140015,119119,横浜市栄区,-,4
14116,140016,150126,横浜市泉区,-,5
14117,140017,306767,横浜市青葉区,-,8
14118,140018,10702,横浜市都筑区,池辺町,19
14118,140019,483,横浜市都筑区,牛久保町,19
14118,140020,4902,横浜市都筑区,牛久保,19
14118,140021,4377,横浜市都筑区,牛久保西,19
14118,140022,5132,横浜市都筑区,牛久保東,19
14118,140023,188,横浜市都筑区,荏田東町,19
14118,140024,7813,横浜市都筑区,荏田東,19
14118,140025,270,横浜市都筑区,荏田南町,19
14118,140026,9585,横浜市都筑区,荏田南,19
14118,140027,2258,横浜市都筑区,大熊町,19
14118,140028,1645,横浜市都筑区,大棚町,19
14118,140029,4312,横浜市都筑区,大丸,19
14118,140030,1702,横浜市都筑区,折本町,19
14118,140031,5139,横浜市都筑区,加賀原,19
14118,140032,3622,横浜市都筑区,勝田町,19
14118,140033,2837,横浜市都筑区,勝田南,19
14118,140034,1221,横浜市都筑区,川向町,19
14118,140035,2039,横浜市都筑区,川和台,19
14118,140036,9861,横浜市都筑区,川和町,19
14118,140037,16157,横浜市都筑区,北山田,19
14118,140038,1768,横浜市都筑区,葛が谷,19
14118,140039,5219,横浜市都筑区,佐江戸町,19
14118,140040,1565,横浜市都筑区,桜並木,19
14118,140041,1870,横浜市都筑区,新栄町,19
14118,140042,4370,横浜市都筑区,すみれが丘,19
14118,140043,3397,横浜市都筑区,高山,19
14118,140044,25,横浜市都筑区,茅ケ崎町,19
14118,140045,6088,横浜市都筑区,茅ケ崎中央,19
14118,140046,7091,横浜市都筑区,茅ケ崎東,19
14118,140047,13318,横浜市都筑区,茅ケ崎南,19
14118,140048,14666,横浜市都筑区,中川,19
14118,140049,4385,横浜市都筑区,中川中央,19
14118,140050,1692,横浜市都筑区,長坂,19
14118,140051,9620,横浜市都筑区,仲町台,19
14118,140052,871,横浜市都筑区,二の丸,19
14118,140053,4822,横浜市都筑区,早渕,19
14118,140054,2080,横浜市都筑区,東方町,19
14118,140055,3756,横浜市都筑区,東山田町,19
14118,140056,8886,横浜市都筑区,東山田,19
14118,140057,1936,横浜市都筑区,富士見が丘,19
14118,140058,2068,横浜市都筑区,南山田町,19
14118,140059,8751,横浜市都筑区,南山田,19
14118,140060,2937,横浜市都筑区,見花山,19
14118,140061,1361,横浜市都筑区,平台,19
14118,140062,1539,横浜市都筑区,大棚西,19
14118,140063,1684,横浜市都筑区,あゆみが丘,19
14131,140064,219831,川崎市川崎区,-,10
14132,140065,166275,川崎市幸区,-,10
14133,140066,11917,川崎市中原区,小杉町,18
14133,140067,10402,川崎市中原区,新丸子東,18
14133,140068,5944,川崎市中原区,小杉御殿町,18
14133,140069,5166,川崎市中原区,小杉陣屋町,18
14133,140070,27906,川崎市中原区,上小田中,18
14133,140071,13083,川崎市中原区,宮内,18
14133,140072,407,川崎市中原区,等々力,18
14133,140073,2645,川崎市中原区,上丸子天神町,18
14133,140074,6563,川崎市中原区,丸子通,18
14133,140075,3037,川崎市中原区,新丸子町,18
14133,140076,2335,川崎市中原区,上丸子八幡町,18
14133,140077,4198,川崎市中原区,上丸子山王町,18
14133,140078,4649,川崎市中原区,下沼部,18
14133,140079,15193,川崎市中原区,中丸子,18
14133,140080,11535,川崎市中原区,市ノ坪,18
