pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
15101,-,15101,150001,72335,新潟市北区,3
15102,-,15102,150002,133646,新潟市東区,1
15103,-,15103,150003,178805,新潟市中央区,1
15104,-,15104,150004,67630,新潟市江南区,1
15105,-,15105,150005,74820,新潟市秋葉区,3
15106,-,15106,150006,43278,新潟市南区,2
15107,-,15107,150007,159780,新潟市西区,2
15108,-,15108,150008,54309,新潟市西蒲区,2
15202,旧長岡市,15202,150009,190155,長岡市,4
15215,旧栃尾市,15202,150010,16375,長岡市,4
15364,旧中之島町,15202,150011,10689,長岡市,4
15401,旧越路町,15202,150012,13059,長岡市,4
15402,旧三島町,15202,150013,6677,長岡市,4
15403,旧与板町,15202,150014,5943,長岡市,4
15404,旧和島村,15202,150015,3677,長岡市,4
15406,旧寺泊町,15202,150016,8677,長岡市,4
15421,旧山古志村,15202,150017,805,長岡市,4
15441,旧川口町,15202,150018,4079,長岡市,4
15502,旧小国町,15202,150019,4708,長岡市,4
15204,-,15204,150020,94046,三条市,2
15205,-,15205,150021,80747,柏崎市,4
15206,-,15206,150022,94353,新発田市,3
15208,-,15208,150023,33924,小千谷市,4
15209,-,15209,150024,25352,加茂市,2
15210,-,15210,150025,49544,十日町市,5
15211,-,15211,150026,39007,見附市,4
15212,-,15212,150027,57106,村上市,3
15213,-,15213,150028,76745,燕市,2
15216,-,15216,150029,40404,糸魚川市,5
15217,-,15217,150030,30119,妙高市,5
15218,-,15218,150031,47153,五泉市,3
15222,-,15222,150032,186540,上越市,5
15223,-,15223,150033,40456,阿賀野市,3
15224,-,15224,150034,51292,佐渡市,1
15225,-,15225,150035,34263,魚沼市,5
15226,-,15226,150036,54162,南魚沼市,5
15227,-,15227,150037,28319,胎内市,3
15307,-,15307,15300,13982,聖籠町,3
15342,-,15342,15340,7685,弥彦村,2
15361,-,15361,15360,11188,田上町,2
15385,-,15385,15380,9929,阿賀町,3
15405,-,15405,15400,4099,出雲崎町,4
15461,-,15461,15460,7656,湯沢町,5
15482,-,15482,15480,8886,津南町,5
15504,-,15504,15500,4366,刈羽村,4
15581,-,15581,15580,5122,関川村,3
15586,-,15586,15580,351,粟島浦村,3
