pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
32201,-,32201,320001,202280,松江市,1
32202,-,32202,320002,53941,浜田市,2
32203,旧出雲市,32203,320003,92227,出雲市,2
32208,旧平田市,32203,320004,23708,出雲市,2
32401,旧斐川町,32203,320005,27459,出雲市,2
32402,旧佐田町,32203,320006,3007,出雲市,2
32403,旧多伎町,32203,320007,3223,出雲市,2
32404,旧湖陵町,32203,320008,5052,出雲市,2
32405,旧大社町,32203,320009,13941,出雲市,2
32204,-,32204,320010,44656,益田市,2
32205,-,32205,320011,32508,大田市,2
32206,-,32206,320012,36800,安来市,1
32207,-,32207,320013,22677,江津市,2
32361,旧大東町,32209,320014,11402,雲南市,1
32362,旧加茂町,32209,320015,5567,雲南市,1
32363,旧木次町,32209,320016,8138,雲南市,1
32381,旧三刀屋町,32209,320017,6684,雲南市,1
32382,旧吉田村,32209,320018,1495,雲南市,1
32383,旧掛合町,32209,320019,2509,雲南市,1
32343,-,32343,32340,11760,奥出雲町,1
32386,-,32386,32380,4535,飯南町,1
32441,-,32441,32440,3229,川本町,2
32448,-,32448,32440,4337,美郷町,2
32449,-,32449,32440,10079,邑南町,2
32501,-,32501,32500,6823,津和野町,2
32505,-,32505,32500,5856,吉賀町,2
32525,-,32525,32520,2255,海士町,1
32526,-,32526,32520,2757,西ノ島町,1
32527,-,32527,32520,631,知夫村,1
32528,-,32528,32520,13360,隠岐の島町,1
