pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
35201,-,35201,350001,251179,下関市,3
35202,-,35202,350002,160888,宇部市,1
35203,旧山口市,35203,350003,140993,山口市,1
35381,旧徳地町,35203,350004,5264,山口市,1
35401,旧秋穂町,35203,350005,6098,山口市,1
35402,旧小郡町,35203,350006,25871,山口市,1
35403,旧阿知須町,35203,350007,9248,山口市,1
35504,旧阿東町,35203,350008,4945,山口市,1
35204,-,35204,350009,44246,萩市,3
35206,-,35206,350010,112804,防府市,1
35207,-,35207,350011,55326,下松市,2
35208,-,35208,350012,127356,岩国市,2
35210,-,35210,350013,49362,光市,2
35211,-,35211,350014,32062,長門市,3
35212,-,35212,350015,30635,柳井市,2
35213,-,35213,350016,23052,美祢市,3
35205,旧徳山市,35215,350017,89419,周南市,2
35214,旧新南陽市,35215,350018,29181,周南市,2
35345,旧熊毛町,35215,350019,14814,周南市,2
35361,旧鹿野町,35215,350020,2964,周南市,2
35216,-,35216,350021,59699,山陽小野田市,3
35305,-,35305,35300,14699,周防大島町,2
35321,-,35321,35320,5957,和木町,2
35341,-,35341,35340,2338,上関町,2
35343,-,35343,35340,14424,田布施町,2
35344,-,35344,35340,11828,平生町,2
35502,-,35502,35500,3029,阿武町,3
