code,gun_code,pop,mun_name,sub_name,lh_2022
40101,400001,93144,北九州市門司区,-,10
40103,400002,79445,北九州市若松区,-,9
40105,400003,56830,北九州市戸畑区,-,9
40106,400004,179808,北九州市小倉北区,-,10
40107,400005,207597,北九州市小倉南区,-,10
40108,400006,64091,北九州市八幡東区,-,9
40109,400007,247299,北九州市八幡西区,-,9
40131,400008,20640,福岡市東区,箱崎,1
40131,400009,9322,福岡市東区,筥松,1
40131,400010,1170,福岡市東区,貝塚団地,1
40131,400011,1740,福岡市東区,箱崎ふ頭,1
40131,400012,1324,福岡市東区,東浜,1
40131,400013,10874,福岡市東区,馬出,1
40131,400014,466,福岡市東区,郷口町,1
40131,400015,1145,福岡市東区,社領,1
40131,400016,4510,福岡市東区,松田,1
40131,400017,762,福岡市東区,筥松新町,1
40131,400018,1307,福岡市東区,二又瀬新町,1
40131,400019,461,福岡市東区,二又瀬,1
40131,400020,11405,福岡市東区,原田,1
40131,400021,3152,福岡市東区,多の津,4
40131,400022,5915,福岡市東区,松島,1
40131,400023,3504,福岡市東区,多々良,4
40131,400024,6041,福岡市東区,八田,4
40131,400025,9188,福岡市東区,青葉,4
40131,400026,2022,福岡市東区,みどりが丘,4
40131,400027,4458,福岡市東区,土井,4
40131,400028,1931,福岡市東区,名子,4
40131,400029,0,福岡市東区,大字名子,4
40131,400030,6810,福岡市東区,舞松原,1
40131,400031,5575,福岡市東区,水谷,1
40131,400032,8513,福岡市東区,若宮,1
40131,400033,6042,福岡市東区,松崎,1
40131,400034,2911,福岡市東区,城浜団地,1
40131,400035,10446,福岡市東区,名島,1
40131,400036,1533,福岡市東区,香椎団地,1
40131,400037,16787,福岡市東区,千早,1
40131,400038,12068,福岡市東区,香椎浜,1
40131,400039,10272,福岡市東区,香椎,1
40131,400040,4829,福岡市東区,香椎台,1
40131,400041,7022,福岡市東区,下原,1
40131,400042,120,福岡市東区,大字香椎,1
40131,400043,0,福岡市東区,大字下原,1
40131,400044,7050,福岡市東区,香椎駅前,1
40131,400045,6935,福岡市東区,香椎駅東,1
40131,400046,2483,福岡市東区,松香台,1
40131,400047,3606,福岡市東区,御島崎,1
40131,400048,8441,福岡市東区,唐原,1
40131,400049,9371,福岡市東区,香住ケ丘,1
40131,400050,8946,福岡市東区,和白,1
40131,400051,8463,福岡市東区,和白東,1
40131,400052,399,福岡市東区,大字上和白,1
40131,400053,4635,福岡市東区,高美台,1
40131,400054,6968,福岡市東区,和白丘,1
40131,400055,7095,福岡市東区,美和台,1
40131,400056,0,福岡市東区,大字三苫,1
40131,400057,47,福岡市東区,大字奈多,1
40131,400058,2517,福岡市東区,奈多団地,1
40131,400059,4744,福岡市東区,西戸崎,1
40131,400060,0,福岡市東区,大字西戸崎,1
40131,400061,1366,福岡市東区,大岳,1
40131,400062,206,福岡市東区,大字勝馬,1
40131,400063,987,福岡市東区,大字志賀島,1
40131,400064,234,福岡市東区,大字弘,1
40131,400065,9295,福岡市東区,三苫,1
40131,400066,3955,福岡市東区,雁の巣,1
40131,400067,3985,福岡市東区,奈多,1
40131,400068,2856,福岡市東区,塩浜,1
40131,400069,1063,福岡市東区,蒲田,4
40131,400070,1465,福岡市東区,美和台新町,1
40131,400071,0,福岡市東区,大字浜男,1
40131,400072,11553,福岡市東区,香椎照葉,1
40131,400073,0,福岡市東区,香椎浜ふ頭,1
40131,400074,0,福岡市東区,みなと香椎,1
40132,400075,245102,福岡市博多区,-,1
40133,400076,201659,福岡市中央区,-,2
40134,400077,10290,福岡市南区,塩原,2
40134,400078,8326,福岡市南区,清水,2
40134,400079,2322,福岡市南区,玉川町,2
40134,400080,9842,福岡市南区,大楠,2
40134,400081,2351,福岡市南区,那の川,2
40134,400082,2153,福岡市南区,市崎,2
40134,400083,10660,福岡市南区,高宮,2
40134,400084,2875,福岡市南区,多賀,2
40134,400085,5526,福岡市南区,平和,2
40134,400086,2482,福岡市南区,大池,2
40134,400087,4626,福岡市南区,寺塚,2
40134,400088,10209,福岡市南区,長丘,2
40134,400089,2975,福岡市南区,柳河内,2
40134,400090,8626,福岡市南区,長住,2
40134,400091,3273,福岡市南区,西長住,2
40134,400092,4822,福岡市南区,皿山,2
40134,400093,94,福岡市南区,大字檜原,2
40134,400094,8182,福岡市南区,檜原,2
40134,400095,1980,福岡市南区,大平寺,2
40134,400096,181,福岡市南区,大字柏原,2
40134,400097,8683,福岡市南区,柏原,2
40134,400098,5212,福岡市南区,屋形原,2
40134,400099,3944,福岡市南区,中尾,2
40134,400100,5940,福岡市南区,花畑,2
40134,400101,4966,福岡市南区,鶴田,5
40134,400102,1371,福岡市南区,若久団地,2
40134,400103,9612,福岡市南区,若久,2
40134,400104,8715,福岡市南区,野間,2
40134,400105,5236,福岡市南区,向野,2
40134,400106,2945,福岡市南区,向新町,2
40134,400107,8112,福岡市南区,三宅,2
40134,400108,4007,福岡市南区,和田,2
40134,400109,2352,福岡市南区,筑紫丘,2
40134,400110,12139,福岡市南区,大橋,2
40134,400111,1691,福岡市南区,大橋団地,2
40134,400112,2471,福岡市南区,南大橋,2
40134,400113,5886,福岡市南区,曰佐,2
40134,400114,8392,福岡市南区,野多目,2
40134,400115,8807,福岡市南区,老司,5
40134,400116,2969,福岡市南区,警弥郷,5
40134,400117,2542,福岡市南区,柳瀬,5
40134,400118,5544,福岡市南区,弥永,5
40134,400119,1728,福岡市南区,弥永団地,5
40134,400120,15808,福岡市南区,井尻,2
40134,400121,1319,福岡市南区,折立町,2
40134,400122,7068,福岡市南区,横手,2
40134,400123,1590,福岡市南区,横手南町,2
40134,400124,2869,福岡市南区,的場,2
40134,400125,2360,福岡市南区,五十川,2
40134,400126,4081,福岡市南区,高木,2
40135,400127,209979,福岡市西区,-,3
40136,400128,10018,福岡市城南区,鳥飼,2
40136,400129,15269,福岡市城南区,別府,2
40136,400130,1841,福岡市城南区,別府団地,2
40136,400131,670,福岡市城南区,城西団地,2
40136,400132,5981,福岡市城南区,茶山,2
40136,400133,2678,福岡市城南区,荒江,2
40136,400134,1776,福岡市城南区,荒江団地,2
40136,400135,668,福岡市城南区,飯倉,2
40136,400136,8545,福岡市城南区,田島,2
40136,400137,5286,福岡市城南区,友丘,2
40136,400138,1360,福岡市城南区,友泉亭,2
40136,400139,9709,福岡市城南区,長尾,2
40136,400140,9289,福岡市城南区,樋井川,2
40136,400141,971,福岡市城南区,宝台団地,2
40136,400142,2434,福岡市城南区,堤,2
40136,400143,1426,福岡市城南区,堤団地,2
40136,400144,5282,福岡市城南区,神松寺,2
40136,400145,7436,福岡市城南区,片江,2
40136,400146,0,福岡市城南区,大字片江,2
40136,400147,164,福岡市城南区,大字東油山,2
40136,400148,6128,福岡市城南区,東油山,2
40136,400149,7300,福岡市城南区,南片江,2
40136,400150,2415,福岡市城南区,西片江,2
40136,400151,12330,福岡市城南区,七隈,3
40136,400152,2569,福岡市城南区,金山団地,2
40136,400153,4929,福岡市城南区,梅林,3
40136,400154,0,福岡市城南区,大字梅林,3
40136,400155,2891,福岡市城南区,干隈,3
40136,400156,2344,福岡市城南区,松山,2
40137,400157,218955,福岡市早良区,-,3
40202,400158,110619,大牟田市,-,7
40203,400159,300421,久留米市,-,6
40204,400160,55646,直方市,-,8
40205,400161,125153,飯塚市,-,8
40206,400162,45802,田川市,-,11
40207,400163,63941,柳川市,-,7
40210,400164,60172,八女市,-,7
40211,400165,48332,筑後市,-,7
40212,400166,32770,大川市,-,6
40213,400167,70869,行橋市,-,11
40214,400168,24065,豊前市,-,11
40215,400169,40025,中間市,-,8
40216,400170,58491,小郡市,-,6
40217,400171,102778,筑紫野市,-,5
40218,400172,110257,春日市,-,5
40219,400173,101302,大野城市,-,5
40220,400174,96369,宗像市,-,4
40221,400175,72719,太宰府市,-,5
40223,400176,58005,古賀市,-,4
40224,400177,66639,福津市,-,4
