pre_gappei_code,old_mun_name,code,gun_code,pop,mun_name,lh_2022
4101,-,4101,40001,306009,仙台市青葉区,1
4102,-,4102,40002,194817,仙台市宮城野区,2
4103,-,4103,40003,140217,仙台市若林区,2
4104,-,4104,40004,233081,仙台市太白区,1
4105,-,4105,40005,211073,仙台市泉区,2
4202,-,4202,40006,139080,石巻市,4
4203,-,4203,40007,51700,塩竈市,4
4205,-,4205,40008,60565,気仙沼市,5
4206,-,4206,40009,32544,白石市,3
4207,-,4207,40010,78359,名取市,3
4208,-,4208,40011,27770,角田市,3
4209,-,4209,40012,62463,多賀城市,4
4211,-,4211,40013,43693,岩沼市,3
4212,-,4212,40014,75709,登米市,5
4213,-,4213,40015,64151,栗原市,5
4214,-,4214,40016,38956,東松島市,4
4204,旧古川市,4215,40017,77032,大崎市,5
4461,旧松山町,4215,40018,5675,大崎市,5
4462,旧三本木町,4215,40019,7413,大崎市,5
4463,旧鹿島台町,4215,40020,11216,大崎市,5
4481,旧岩出山町,4215,40021,9881,大崎市,5
4482,旧鳴子町,4215,40022,5369,大崎市,5
4502,旧田尻町,4215,40023,10017,大崎市,5
4216,-,4216,40024,51432,富谷市,4
4301,-,4301,4300,11351,蔵王町,3
4302,-,4302,4300,1235,七ヶ宿町,3
4321,-,4321,4320,23446,大河原町,3
4322,-,4322,4320,10612,村田町,3
4323,-,4323,4320,38131,柴田町,3
4324,-,4324,4320,8218,川崎町,3
4341,-,4341,4340,12129,丸森町,3
4361,-,4361,4360,32932,亘理町,3
4362,-,4362,4360,11988,山元町,3
4401,-,4401,4400,13260,松島町,4
4404,-,4404,4400,18034,七ヶ浜町,4
4406,-,4406,4400,35062,利府町,4
4421,-,4421,4420,28412,大和町,4
4422,-,4422,4420,7734,大郷町,4
4424,-,4424,4420,5791,大衡村,4
4444,-,4444,4440,6664,色麻町,5
4445,-,4445,4440,21781,加美町,5
4501,-,4501,4500,15331,涌谷町,5
4505,-,4505,4500,23930,美里町,5
4581,-,4581,4580,6218,女川町,4
4606,-,4606,4600,12061,南三陸町,5
