1,平成27年国勢調査　小地域集計　（総務省統計局）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,第3表　年齢（5歳階級），男女別人口，総年齢及び平均年齢(外国人―特掲）－町丁・字等,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,1) 日本人・外国人の別「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,2) 無国籍及び国名「不詳」を含む。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,総数（男女別）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,男,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,女,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,市区町村コード,町丁字コード,地域識別番号,秘匿処理,秘匿先情報,合算地域,都道府県名,市区町村名,大字・町名,字・丁目名,総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2),総数（年齢） 1),0～4歳,5～9歳,10～14歳,15～19歳,20～24歳,25～29歳,30～34歳,35～39歳,40～44歳,45～49歳,50～54歳,55～59歳,60～64歳,65～69歳,70～74歳,75～79歳,80～84歳,85～89歳,90～94歳,95～99歳,100歳以上,年齢「不詳」,総年齢,平均年齢,（再掲）15歳未満,（再掲）15～64歳,（再掲）65歳以上,（再掲）75歳以上,（再掲）85歳以上,（再掲）外国人 2)
7,"15101","","1","","","","新潟県","新潟市北区","","",76328,2734,3187,3349,4270,3836,3539,3874,4755,5265,4691,4677,4798,6095,6568,4563,3736,2933,1905,828,231,42,452,3520927,46.9036981391,9270,45800,20806,9675,3006,452,36973,1392,1693,1753,2168,1824,1807,1955,2444,2635,2329,2337,2385,2996,3191,2197,1676,1111,591,191,34,4,260,1642097,45.2279437801,4838,22880,8995,3607,820,225,39355,1342,1494,1596,2102,2012,1732,1919,2311,2630,2362,2340,2413,3099,3377,2366,2060,1822,1314,637,197,38,192,1878830,48.4746189005,4432,22920,11811,6068,2186,227
8,"15101","0010","2","","","","新潟県","新潟市北区","水面","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9,"15101","0020","2","","","","新潟県","新潟市北区","太郎代","",699,11,17,31,29,24,23,23,19,46,44,37,48,62,81,76,42,49,22,12,3,-,-,37512,54.1652360515,59,355,285,128,37,8,348,3,11,18,20,15,12,13,11,23,24,20,24,29,40,36,21,15,9,4,-,-,-,17660,51.2471264368,32,191,125,49,13,6,351,8,6,13,9,9,11,10,8,23,20,17,24,33,41,40,21,34,13,8,3,-,-,19852,57.0584045584,27,164,160,79,24,2
10,"15101","0030","2","","","","新潟県","新潟市北区","島見町","",2013,32,55,57,80,73,69,61,94,103,124,139,125,178,216,166,153,114,91,57,17,3,6,109519,55.0685102143,144,1046,817,435,168,7,900,19,25,24,40,36,39,32,48,54,63,72,69,84,98,71,61,39,17,5,2,-,2,45638,51.3218262806,68,537,293,124,24,5,1113,13,30,33,40,37,30,29,46,49,61,67,56,94,118,95,92,75,74,52,15,3,4,63881,58.1023444545,76,509,524,311,144,2
11,"15101","0040","2","","","","新潟県","新潟市北区","白勢町","",109,-,2,6,4,1,9,5,3,4,10,9,8,7,12,12,6,7,2,-,2,-,-,5767,53.4082568807,8,60,41,17,4,-,54,-,1,4,2,-,4,3,2,1,7,4,5,4,6,4,3,4,-,-,-,-,-,2729,51.0370370370,5,32,17,7,-,-,55,-,1,2,2,1,5,2,1,3,3,5,3,3,6,8,3,3,2,-,2,-,-,3038,55.7363636364,3,28,24,10,4,-
12,"15101","0050","2","","","","新潟県","新潟市北区","新富町","",109,6,2,2,5,7,2,3,6,10,11,5,1,12,11,5,10,1,5,4,1,-,-,5494,50.9036697248,10,62,37,21,10,-,53,3,2,2,3,2,-,2,5,5,6,3,-,5,6,2,5,-,1,-,1,-,-,2448,46.6886792453,7,31,15,7,2,-,56,3,-,-,2,5,2,1,1,5,5,2,1,7,5,3,5,1,4,4,-,-,-,3046,54.8928571429,3,31,22,14,8,-
13,"15101","0060","2","","","","新潟県","新潟市北区","東栄町","",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
14,"15101","0070","2","","","","新潟県","新潟市北区","松栄町","",71,-,1,-,2,5,3,1,4,-,3,4,9,6,8,5,7,7,4,1,1,-,-,4193,59.5563380282,1,37,33,20,6,-,38,-,-,-,2,5,3,-,2,-,-,3,5,3,5,1,4,2,3,-,-,-,-,2062,54.7631578947,-,23,15,9,3,-,33,-,1,-,-,-,-,1,2,-,3,1,4,3,3,4,3,5,1,1,1,-,-,2131,65.0757575758,1,14,18,11,3,-
15,"15101","0080","2","","","","新潟県","新潟市北区","神谷内","",508,14,13,18,15,24,17,14,32,34,27,33,18,52,54,39,35,25,21,18,5,-,-,26991,53.6318897638,45,266,197,104,44,-,232,5,8,8,9,13,6,9,15,14,16,15,11,24,28,18,17,8,3,5,-,-,-,11689,50.8836206897,21,132,79,33,8,-,276,9,5,10,6,11,11,5,17,20,11,18,7,28,26,21,18,17,18,13,5,-,-,15302,55.9420289855,24,134,118,71,36,-
16,"15101","0090","2","","","","新潟県","新潟市北区","太夫浜","",1832,52,66,48,249,81,92,69,87,124,93,82,86,139,141,114,84,60,75,40,13,4,33,83260,46.7812673708,166,1102,531,276,132,12,901,29,39,28,122,47,49,35,48,72,50,44,44,67,70,54,38,23,16,7,-,1,18,37795,43.3029445074,96,578,209,85,24,7,931,23,27,20,127,34,43,34,39,52,43,38,42,72,71,60,46,37,59,33,13,3,15,45465,50.1342794760,70,524,322,191,108,5
